stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
1,1,4882,10,25.7,12,1,6,1,1,0,2,3,5,10,2,5,0,0,-5,t
2,1,1696,10,29.9,6,3,5,6,1,0,5,3,2,5,0,0,2,4,-2,t
3,1,2738,10,15.5,7,2,2,1,1,1,1,0,3,5,0,0,1,2,-8,t
4,1,3637,10,25.1,20,0,2,3,1,0,2,2,8,18,4,11,0,1,2,t
5,1,986,10,36.2,21,1,9,10,3,0,4,1,5,21,2,8,9,9,4,t
6,1,364,10,25.9,15,2,9,4,1,0,1,2,6,7,1,1,2,2,20,f
7,1,2135,10,23.0,12,0,1,2,0,1,0,1,4,7,2,5,2,2,8,f
8,1,2656,10,29.1,15,0,1,2,0,0,0,3,4,10,1,5,6,6,9,f
9,1,4558,10,12.4,6,0,3,1,0,0,1,1,2,3,1,2,1,2,7,f
10,1,3650,10,11.6,5,0,1,0,1,0,1,2,1,3,1,2,2,2,1,f
11,1,3166,10,5.6,2,0,2,0,0,0,0,0,1,3,0,0,0,0,-1,f
12,1,3542,10,0.1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,f
13,1,2205,14,36.8,34,1,10,5,1,1,4,5,13,23,5,11,3,6,-2,t
14,1,1019,14,38.9,33,2,9,2,1,2,0,0,15,26,1,5,2,7,-2,t
15,1,2395,14,12.9,2,0,2,1,1,0,0,3,1,1,0,0,0,0,2,t
16,1,283,14,30.6,8,0,2,0,0,1,1,4,3,9,2,8,0,0,10,t
17,1,4836,14,35.1,8,1,4,4,0,0,4,4,4,13,0,4,0,0,-23,t
18,1,3916,14,19.8,3,0,0,5,2,0,3,2,1,4,1,3,0,0,1,f
19,1,118,14,26.1,9,0,4,2,0,0,1,2,3,9,2,4,1,2,-5,f
20,1,3159,14,18.7,6,0,3,1,2,0,1,1,2,5,2,4,0,0,-10,f
21,1,2074,14,12.8,5,0,6,0,0,0,2,2,1,2,0,0,3,4,-7,f
22,1,473,14,8.2,6,1,0,1,0,0,1,2,2,3,2,3,0,0,1,f
23,1,1171,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
24,1,3759,14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
25,2,1222,3,30.2,32,0,11,4,0,2,1,2,13,25,3,7,3,6,-20,t
26,2,1732,3,23.0,6,1,4,0,1,0,1,1,2,5,0,1,2,2,-6,t
27,2,820,3,24.2,12,0,7,0,0,0,0,3,6,9,0,0,0,3,-15,t
28,2,1866,3,30.8,9,0,2,2,0,0,2,1,3,9,3,5,0,0,0,t
29,2,1832,3,30.6,20,3,5,8,1,2,4,3,6,16,4,8,4,4,-20,t
30,2,3113,3,29.4,21,0,2,2,1,1,0,1,7,11,7,7,0,0,7,f
31,2,3116,3,5.2,0,1,2,0,0,1,1,0,0,0,0,0,0,0,-1,f
32,2,45,3,15.7,1,0,3,1,0,1,1,2,0,2,0,0,1,4,2,f
33,2,728,3,18.9,0,0,2,0,0,0,1,1,0,3,0,2,0,0,-29,f
34,2,2288,3,20.7,1,0,0,2,0,1,0,3,0,2,0,1,1,2,-6,f
35,2,312,3,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,f
36,2,4473,3,3.8,2,0,0,0,0,0,1,0,0,2,0,1,2,2,-9,f
37,2,548,3,3.8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,-9,f
38,2,1208,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
39,2,1267,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
40,2,3075,17,30.9,20,0,9,3,1,0,1,3,8,17,1,4,3,4,20,t
41,2,115,17,30.9,32,5,9,7,1,2,4,4,12,25,1,4,7,9,25,t
42,2,2739,17,28.2,8,2,3,0,1,3,0,3,3,9,2,4,0,0,0,t
43,2,60,17,27.7,10,0,4,6,2,0,0,0,3,10,3,10,1,1,23,t
44,2,2024,17,17.7,12,1,0,1,1,0,0,0,5,7,2,4,0,0,17,t
45,2,877,17,30.0,20,0,3,2,1,1,0,0,8,13,4,9,0,0,0,f
46,2,1991,17,23.4,1,2,3,3,0,1,1,5,0,3,0,2,1,2,-6,f
47,2,117,17,12.4,6,1,3,1,0,1,0,1,2,3,0,0,2,2,8,f
48,2,3375,17,26.5,15,0,6,1,1,1,1,3,6,13,3,6,0,0,6,f
49,2,2822,17,7.0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,9,f
50,2,3879,17,4.0,3,0,0,0,0,0,0,0,1,2,1,2,0,0,11,f
51,2,2417,17,1.3,0,2,0,0,0,0,0,0,0,2,0,0,0,0,2,f
52,3,2846,6,31.5,10,2,7,2,1,0,1,0,4,14,2,7,0,0,-4,t
53,3,3144,6,38.3,17,0,9,6,1,1,0,2,7,13,1,2,2,3,-18,t
54,3,61,6,28.9,25,1,3,1,3,3,1,1,11,11,0,0,3,4,5,t
55,3,4093,6,29.4,17,1,0,1,0,0,1,4,7,13,2,6,1,3,-14,t
56,3,1533,6,31.9,13,0,1,12,0,0,2,2,5,15,3,10,0,0,0,t
57,3,3419,6,20.6,8,1,2,1,0,1,0,4,3,5,0,1,2,2,8,f
58,3,2750,6,17.4,4,1,2,4,0,0,1,1,1,6,0,2,2,2,-3,f
59,3,3945,6,24.9,12,0,4,10,1,0,2,3,4,10,3,7,1,1,-12,f
60,3,3451,6,17.1,15,1,1,1,0,0,2,0,5,6,3,3,2,3,-17,f
61,3,1033,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
62,3,1350,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
63,3,3308,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
64,3,3489,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
65,3,4339,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
66,3,4632,6,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
67,3,210,15,29.6,22,1,2,3,2,0,3,2,8,16,2,6,4,4,-7,t
68,3,2190,15,30.8,13,0,6,2,0,4,2,2,3,12,3,8,4,4,16,t
69,3,23,15,31.8,8,6,8,3,1,1,2,0,4,7,0,0,0,0,1,t
70,3,3055,15,30.6,20,2,2,3,0,0,0,0,8,14,4,6,0,0,17,t
71,3,3184,15,33.6,37,1,5,6,0,2,2,2,17,29,1,4,2,2,-6,t
72,3,99,15,21.8,10,0,7,4,2,0,0,2,3,7,2,5,2,2,-10,f
73,3,2541,15,18.5,4,2,4,0,1,0,0,4,2,3,0,1,0,0,-1,f
74,3,4986,15,17.2,3,0,2,1,1,0,1,1,1,2,1,1,0,0,13,f
75,3,2385,15,14.4,9,0,2,5,1,0,0,0,4,7,1,2,0,0,17,f
76,3,814,15,11.6,6,1,2,1,0,1,0,2,3,3,0,0,0,0,15,f
77,3,42,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
78,3,965,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
79,3,3066,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
80,3,4529,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
81,3,4531,15,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
82,4,1694,23,18.6,0,0,0,0,0,0,0,3,0,1,0,1,0,0,11,t
83,4,1873,23,27.7,20,2,10,2,1,0,0,0,8,16,0,2,4,5,8,t
84,4,1303,23,25.7,22,1,5,5,1,1,1,3,8,17,2,3,4,6,4,t
85,4,985,23,27.5,10,0,2,2,0,0,2,0,4,5,2,3,0,0,8,t
86,4,2904,23,33.7,20,0,7,5,0,0,1,2,8,14,2,3,2,2,23,t
87,4,3326,23,18.2,11,0,0,1,0,1,0,1,4,5,3,4,0,0,18,f
88,4,2544,23,20.1,22,0,0,5,1,0,1,0,7,11,4,4,4,4,22,f
89,4,4526,23,27.4,2,0,1,0,4,1,1,0,1,3,0,1,0,0,15,f
90,4,2245,23,12.6,0,0,0,0,0,0,2,0,0,3,0,2,0,0,-7,f
91,4,1194,23,19.1,6,2,15,3,2,2,4,2,2,4,0,0,2,3,22,f
92,4,3772,23,3.2,2,0,0,1,0,0,0,0,1,3,0,0,0,0,-6,f
93,4,4312,23,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6,f
94,4,1945,23,2.1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,-6,f
95,4,260,23,2.1,2,1,1,0,0,0,0,0,1,2,0,1,0,0,-6,f
96,4,1881,19,10.2,5,0,2,1,0,0,0,1,2,2,0,0,1,2,-2,t
97,4,2144,19,36.6,25,0,7,6,0,1,4,1,12,26,1,3,0,0,-29,t
98,4,4630,19,29.6,9,5,7,3,0,1,1,4,3,19,1,3,2,2,-21,t
99,4,56,19,34.0,23,0,5,1,1,1,1,2,9,16,4,8,1,2,-19,t
100,4,1651,19,29.1,18,0,1,5,1,1,3,0,6,9,4,6,2,3,-19,t
101,4,4449,19,15.1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,-17,f
102,4,3245,19,18.1,6,0,0,2,0,0,0,1,2,7,2,5,0,0,-4,f
103,4,1911,19,18.4,4,4,2,0,1,0,1,1,2,4,0,0,0,0,1,f
104,4,4012,19,8.7,0,0,2,2,1,0,1,1,0,1,0,1,0,0,-9,f
105,4,2701,19,16.7,5,1,3,5,1,0,1,1,2,6,1,2,0,0,1,f
106,4,2855,19,20.2,2,0,4,2,0,2,1,3,1,2,0,1,0,0,12,f
107,4,2355,19,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,f
108,4,78,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
109,4,1960,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
110,4,2747,19,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
111,5,3649,8,34.0,15,1,5,5,2,0,2,3,6,10,2,3,1,1,24,t
112,5,1638,8,29.0,12,2,6,4,0,1,3,2,5,6,1,1,1,2,22,t
113,5,2327,8,34.7,27,2,11,2,2,0,3,3,13,22,1,6,0,0,28,t
114,5,254,8,33.5,20,0,6,5,1,0,0,2,8,14,4,8,0,0,20,t
115,5,3198,8,28.4,9,0,2,3,0,0,1,1,3,8,3,6,0,2,18,t
116,5,688,8,19.6,0,0,3,4,2,0,2,1,0,3,0,1,0,0,-6,f
117,5,1179,8,20.8,10,1,4,1,1,0,1,2,3,4,3,4,1,2,-7,f
118,5,1702,8,19.0,13,0,1,1,0,0,2,3,4,9,3,6,2,2,-10,f
119,5,3843,8,7.7,2,0,0,0,0,0,1,0,1,3,0,2,0,0,-13,f
120,5,1699,8,13.3,2,0,2,0,1,0,2,3,1,4,0,2,0,0,-16,f
121,5,409,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
122,5,912,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
123,5,2079,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
124,5,2131,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
125,5,3340,8,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,f
126,5,515,24,33.5,16,1,4,0,1,1,1,2,7,16,2,6,0,2,-21,t
127,5,961,24,24.1,2,0,8,2,1,0,1,1,0,5,0,5,2,2,-7,t
128,5,172,24,32.6,15,2,4,2,1,0,2,2,6,10,1,3,2,2,-15,t
129,5,427,24,29.9,12,1,3,4,1,0,3,3,3,15,2,7,4,4,-24,t
130,5,3526,24,33.6,15,2,2,10,2,1,3,3,6,11,2,4,1,2,-23,t
131,5,3536,24,14.4,10,1,1,3,1,0,3,2,3,9,1,3,3,5,11,f
132,5,2983,24,15.1,6,1,7,0,0,1,3,2,3,4,0,0,0,0,3,f
