pss_id,player_id,season_id,team_id,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_min,fg_pct,fg3_pct,ft_pct,avg_plus_minus,efg_pct,ts_pct,usg_pct,per,bpm
764,1693,2,17,50,3.08,0.90,0.44,0.12,0.00,0.18,6.89,0.4240,0.4190,1.0000,-0.52,0.6000,0.6074,0.1686,11.64,-3.07
2232,4526,4,25,69,1.62,0.75,0.41,0.48,0.13,0.19,4.53,0.4773,0.4375,0.4667,0.01,0.5966,0.5920,0.1441,17.11,2.43
1,11,1,28,74,8.97,6.39,1.11,0.50,0.55,1.14,23.31,0.4395,0.3590,0.5954,0.97,0.4859,0.5025,0.1862,14.71,-1.58
2,23,1,15,76,6.95,10.00,3.37,0.86,0.79,1.51,26.29,0.5469,0.0000,0.5427,4.64,0.5469,0.5598,0.1213,21.51,5.27
3,25,1,16,56,19.07,10.07,3.39,1.43,0.79,2.64,32.60,0.5569,0.0000,0.7529,5.36,0.5569,0.6078,0.2528,25.13,4.58
4,42,1,15,59,2.24,1.47,0.36,0.10,0.17,0.27,6.10,0.4015,0.1250,0.6250,0.27,0.4242,0.4518,0.1870,12.05,-1.72
5,45,1,3,53,11.45,4.87,0.79,0.26,0.89,0.83,19.82,0.5502,0.3043,0.8725,0.36,0.5655,0.6035,0.2256,21.87,0.62
6,56,1,19,50,12.78,3.28,2.78,0.82,0.38,1.70,26.34,0.3750,0.3115,0.7216,-2.54,0.4502,0.4736,0.2510,11.61,-0.58
7,56,1,29,27,1.96,0.85,0.63,0.19,0.15,0.30,5.51,0.3333,0.3030,0.9167,0.56,0.4375,0.4974,0.1806,11.32,0.10
8,60,1,17,70,10.47,3.17,1.43,0.66,0.26,0.61,25.78,0.4482,0.4087,0.8649,3.33,0.5879,0.6092,0.1541,13.27,-2.90
9,61,1,6,57,15.86,10.56,1.61,0.77,1.32,1.65,31.75,0.6771,0.1000,0.7082,2.37,0.6780,0.6980,0.1834,26.41,2.36
10,78,1,19,76,4.34,1.32,2.00,0.93,0.09,0.53,10.98,0.4456,0.2909,0.6792,1.88,0.5000,0.5200,0.1850,16.34,6.47
11,96,1,12,13,6.85,3.08,2.08,0.54,0.46,0.46,20.72,0.3678,0.2453,0.8000,-3.77,0.4425,0.4754,0.1604,11.92,0.36
12,99,1,15,69,7.55,5.33,2.65,1.12,0.65,1.03,21.50,0.4456,0.3303,0.6381,0.86,0.4840,0.5056,0.1630,18.02,4.41
13,115,1,17,68,29.44,11.44,5.71,1.06,1.34,3.22,32.42,0.5534,0.2934,0.7219,5.84,0.5819,0.6327,0.3503,36.96,13.62
14,117,1,17,80,2.14,1.26,0.28,0.20,0.15,0.33,5.92,0.5469,0.1429,0.6304,-1.44,0.5547,0.5768,0.1579,12.43,-3.62
15,118,1,14,70,13.13,4.11,0.97,0.67,0.74,0.84,25.63,0.4412,0.3753,0.8302,-1.26,0.5443,0.5795,0.2048,14.80,-2.00
16,119,1,22,72,14.75,4.83,5.13,0.64,0.24,2.36,28.60,0.3914,0.3376,0.8538,-3.21,0.4638,0.5189,0.2519,16.35,4.03
17,123,1,28,48,17.13,5.50,2.60,1.48,0.52,1.67,36.00,0.4433,0.3628,0.7542,2.81,0.5258,0.5488,0.2076,14.57,-0.86
18,129,1,20,25,0.64,0.32,0.16,0.04,0.00,0.12,3.04,0.5000,0.4444,,-0.48,0.6667,0.6667,0.0864,7.14,-7.93
19,132,1,14,46,2.09,1.78,0.59,0.28,0.13,0.24,10.05,0.3333,0.2703,0.5556,-1.22,0.4343,0.4489,0.1110,9.67,-3.54
20,159,1,11,48,3.79,0.85,1.54,0.21,0.00,0.94,10.62,0.4044,0.4063,0.8684,-2.50,0.5478,0.5959,0.1654,11.49,-2.71
21,159,1,14,21,5.33,1.29,1.57,0.33,0.05,0.52,17.79,0.4535,0.4265,1.0000,-2.71,0.6221,0.6349,0.1143,9.69,-4.11
22,164,1,30,82,8.35,5.18,2.04,0.72,0.54,1.06,24.20,0.4318,0.3166,0.7574,-0.77,0.5026,0.5361,0.1635,13.86,-0.42
23,172,1,24,74,13.47,8.01,1.14,0.54,0.54,1.23,23.14,0.6341,0.3684,0.7465,4.65,0.6392,0.6564,0.2153,26.44,2.47
24,174,1,29,36,2.22,1.97,0.00,0.03,0.31,0.33,5.41,0.7551,,0.5455,0.11,0.7551,0.7429,0.1499,20.79,-2.95
25,185,1,9,18,14.56,6.83,1.06,0.72,0.39,1.00,27.22,0.5550,0.2286,0.5926,-4.89,0.5750,0.5854,0.2169,19.54,-0.32
26,185,1,26,44,6.32,4.89,0.39,0.20,0.25,0.48,14.92,0.4634,0.2419,0.7447,-1.00,0.4939,0.5212,0.1873,17.75,-0.87
27,204,1,4,76,19.84,6.59,7.51,1.57,0.39,3.22,31.87,0.4290,0.3894,0.8724,1.30,0.5167,0.5540,0.2820,22.68,10.23
28,205,1,5,36,12.64,5.28,4.94,1.78,0.86,2.28,33.68,0.4230,0.4231,0.7500,2.25,0.5666,0.5755,0.1726,15.73,2.86
29,208,1,22,72,10.50,7.94,1.18,0.53,1.64,1.07,25.32,0.4797,0.3808,0.7808,-5.18,0.5665,0.5823,0.1731,19.50,1.57
30,210,1,15,78,17.74,4.28,2.67,1.18,0.37,1.42,29.05,0.4614,0.4359,0.9032,4.63,0.5649,0.5919,0.2334,18.22,1.67
31,215,1,28,77,2.66,1.61,1.29,0.36,0.13,0.69,9.04,0.4109,0.2549,0.5909,0.44,0.4431,0.4630,0.1697,11.35,0.29
32,228,1,26,77,16.43,5.61,2.42,0.69,0.18,1.53,33.59,0.4688,0.3944,0.8257,-4.86,0.5540,0.6227,0.1894,17.68,-1.30
33,233,1,28,76,14.92,7.33,3.37,1.05,0.72,1.79,34.44,0.4925,0.3005,0.7349,0.87,0.5236,0.5523,0.1917,17.37,1.26
34,245,1,20,71,19.75,5.75,2.93,0.61,0.23,2.13,34.05,0.4079,0.3416,0.7143,-2.06,0.4657,0.5107,0.2784,15.37,-0.44
35,254,1,8,73,14.29,4.66,3.78,0.75,0.42,1.74,31.18,0.4375,0.3651,0.8031,1.34,0.5251,0.5479,0.2099,15.73,1.08
36,260,1,23,64,1.08,0.97,0.11,0.08,0.27,0.13,2.62,0.6383,0.0000,0.7500,-0.53,0.6383,0.6599,0.1633,21.94,3.27
37,265,1,27,67,5.00,3.45,0.61,0.40,0.21,0.67,14.28,0.5171,0.3091,0.7541,0.06,0.5494,0.5779,0.1485,15.46,-2.87
38,274,1,13,63,7.79,4.03,1.59,0.92,0.67,0.63,23.22,0.4625,0.4000,0.6579,-2.03,0.6021,0.6081,0.1340,15.13,-0.52
