history_id,player_id,team_id,season_id,start_date,end_date,contract_type
1,2289,2,1,2021-10-19,,Standard
2,2205,14,1,2021-10-19,,Standard
3,2205,14,2,2022-10-18,,Standard
4,2205,14,3,2023-10-24,,Standard
5,2205,14,4,2024-10-22,,Standard
6,2205,14,5,2025-10-21,,Standard
7,118,14,1,2021-10-19,,Standard
8,1888,16,1,2021-10-19,,Standard
9,1888,16,2,2022-10-18,,Standard
10,2074,14,1,2021-10-19,,Standard
11,2135,10,1,2021-10-19,,Standard
12,2135,10,2,2022-10-18,,Standard
13,132,14,1,2021-10-19,,Standard
14,3526,24,1,2021-10-19,,Standard
15,3526,24,2,2022-10-18,,Standard
16,3526,10,3,2023-10-24,,Standard
17,3526,27,4,2024-10-22,,Standard
18,3526,13,5,2025-10-21,,Standard
19,3085,2,1,2021-10-19,,Standard
20,4951,1,1,2021-10-19,,Standard
21,45,3,1,2021-10-19,,Standard
22,1561,29,1,2021-10-19,,Standard
23,1561,29,2,2022-10-18,,Standard
24,3916,14,1,2021-10-19,,Standard
25,3916,6,1,2021-10-19,,Standard
26,2756,16,1,2021-10-19,,Standard
27,2756,16,2,2022-10-18,,Standard
28,2756,16,3,2023-10-24,,Standard
29,2756,23,3,2023-10-24,,Standard
30,2756,23,4,2024-10-22,,Standard
31,2756,23,5,2025-10-21,,Standard
32,4591,16,1,2021-10-19,,Standard
33,4591,23,2,2022-10-18,,Standard
34,4591,23,3,2023-10-24,,Standard
35,4591,13,3,2023-10-24,,Standard
36,4591,20,4,2024-10-22,,Standard
37,3116,3,1,2021-10-19,,Standard
38,3116,23,1,2021-10-19,,Standard
39,1222,3,1,2021-10-19,,Standard
40,1222,3,2,2022-10-18,,Standard
41,1222,24,2,2022-10-18,,Standard
42,1222,24,3,2023-10-24,,Standard
43,1222,24,4,2024-10-22,,Standard
44,1222,11,5,2025-10-21,,Standard
45,2057,2,1,2021-10-19,,Standard
46,2057,2,2,2022-10-18,,Standard
47,2057,2,3,2023-10-24,,Standard
48,2057,2,4,2024-10-22,,Standard
49,2057,10,5,2025-10-21,,Standard
50,874,29,1,2021-10-19,,Standard
51,874,29,2,2022-10-18,,Standard
52,874,18,2,2022-10-18,,Standard
53,874,18,3,2023-10-24,,Standard
54,874,18,4,2024-10-22,,Standard
55,874,18,5,2025-10-21,,Standard
56,1702,8,1,2021-10-19,,Standard
57,1702,8,2,2022-10-18,,Standard
58,1702,11,3,2023-10-24,,Standard
59,1702,11,4,2024-10-22,,Standard
60,1702,11,5,2025-10-21,,Standard
61,5099,27,1,2021-10-19,,Standard
62,5099,28,1,2021-10-19,,Standard
63,5099,28,2,2022-10-18,,Standard
64,5099,28,3,2023-10-24,,Standard
65,5099,24,3,2023-10-24,,Standard
66,3918,20,1,2021-10-19,,Standard
67,3918,20,2,2022-10-18,,Standard
68,3918,15,3,2023-10-24,,Standard
69,4836,14,1,2021-10-19,,Standard
70,4836,14,2,2022-10-18,,Standard
71,4836,13,2,2022-10-18,,Standard
72,4836,13,3,2023-10-24,,Standard
73,4836,8,4,2024-10-22,,Standard
74,4836,26,5,2025-10-21,,Standard
75,2750,6,1,2021-10-19,,Standard
76,2750,6,2,2022-10-18,,Standard
77,2750,16,2,2022-10-18,,Standard
78,2750,16,3,2023-10-24,,Standard
79,2750,16,4,2024-10-22,,Standard
80,2750,29,5,2025-10-21,,Standard
81,1516,1,1,2021-10-19,,Standard
82,1516,30,3,2023-10-24,,Standard
83,1516,9,3,2023-10-24,,Standard
84,1516,17,3,2023-10-24,,Standard
85,1641,11,1,2021-10-19,,Standard
86,1641,11,2,2022-10-18,,Standard
87,1641,13,2,2022-10-18,,Standard
88,1641,24,3,2023-10-24,,Standard
89,1641,23,4,2024-10-22,,Standard
90,1641,23,5,2025-10-21,,Standard
91,159,11,1,2021-10-19,,Standard
92,159,14,1,2021-10-19,,Standard
93,2739,17,1,2021-10-19,,Standard
94,2739,17,2,2022-10-18,,Standard
95,2739,17,3,2023-10-24,,Standard
96,2739,17,4,2024-10-22,,Standard
97,2739,13,5,2025-10-21,,Standard
98,2742,22,1,2021-10-19,,Standard
99,2742,6,2,2022-10-18,,Standard
100,2742,17,3,2023-10-24,,Standard
101,2983,24,1,2021-10-19,,Standard
102,2983,7,2,2022-10-18,,Standard
103,2983,26,3,2023-10-24,,Standard
104,2133,13,1,2021-10-19,,Standard
105,2133,17,1,2021-10-19,,Standard
106,2133,17,2,2022-10-18,,Standard
107,274,13,1,2021-10-19,,Standard
108,274,13,2,2022-10-18,,Standard
109,274,13,3,2023-10-24,,Standard
110,274,23,3,2023-10-24,,Standard
111,274,13,4,2024-10-22,,Standard
112,274,13,5,2025-10-21,,Standard
113,1991,17,1,2021-10-19,,Standard
114,1991,17,2,2022-10-18,,Standard
115,1991,12,2,2022-10-18,,Standard
116,2395,14,1,2021-10-19,,Standard
117,2395,23,1,2021-10-19,,Standard
118,2395,8,2,2022-10-18,,Standard
119,2395,8,3,2023-10-24,,Standard
120,2395,8,4,2024-10-22,,Standard
121,2395,19,5,2025-10-21,,Standard
122,1181,28,1,2021-10-19,,Standard
123,1181,3,1,2021-10-19,,Standard
124,1181,5,2,2022-10-18,,Standard
125,1181,17,2,2022-10-18,,Standard
126,1732,3,1,2021-10-19,,Standard
127,1732,2,2,2022-10-18,,Standard
128,1832,3,1,2021-10-19,,Standard
129,1832,23,1,2021-10-19,,Standard
130,1832,23,2,2022-10-18,,Standard
131,1832,13,3,2023-10-24,,Standard
132,1832,13,4,2024-10-22,,Standard
133,1832,13,5,2025-10-21,,Standard
134,1832,6,5,2025-10-21,,Standard
135,3945,6,1,2021-10-19,,Standard
136,3945,6,2,2022-10-18,,Standard
137,986,10,1,2021-10-19,,Standard
138,986,10,2,2022-10-18,,Standard
139,986,10,3,2023-10-24,,Standard
140,986,10,4,2024-10-22,,Standard
141,986,10,5,2025-10-21,,Standard
142,1076,5,1,2021-10-19,,Standard
143,1076,5,2,2022-10-18,,Standard
144,1076,5,3,2023-10-24,,Standard
145,1076,26,4,2024-10-22,,Standard
146,1076,26,5,2025-10-21,,Standard
147,2288,3,1,2021-10-19,,Standard
148,2288,12,2,2022-10-18,,Standard
149,2288,12,3,2023-10-24,,Standard
150,2288,12,4,2024-10-22,,Standard
151,2024,17,1,2021-10-19,,Standard
152,2024,17,2,2022-10-18,,Standard
153,2024,2,3,2023-10-24,,Standard
154,2024,2,4,2024-10-22,,Standard
155,2024,25,5,2025-10-21,,Standard
156,863,14,1,2021-10-19,,Standard
157,1587,20,1,2021-10-19,,Standard
158,1587,30,2,2022-10-18,,Standard
159,1587,20,3,2023-10-24,,Standard
160,1587,9,3,2023-10-24,,Standard
161,1587,4,4,2024-10-22,,Standard
162,1587,15,5,2025-10-21,,Standard
163,1285,14,1,2021-10-19,,Standard
164,340,18,1,2021-10-19,,Standard
165,340,14,2,2022-10-18,,Standard
166,340,5,2,2022-10-18,,Standard
167,340,23,3,2023-10-24,,Standard
168,340,17,3,2023-10-24,,Standard
169,1694,23,1,2021-10-19,,Standard
170,1694,15,2,2022-10-18,,Standard
171,1694,6,2,2022-10-18,,Standard
172,1694,23,3,2023-10-24,,Standard
173,3113,3,1,2021-10-19,,Standard
174,3113,3,2,2022-10-18,,Standard
175,3113,1,3,2023-10-24,,Standard
176,3113,16,3,2023-10-24,,Standard
177,3113,29,4,2024-10-22,,Standard
178,3113,13,4,2024-10-22,,Standard
179,4449,19,1,2021-10-19,,Standard
180,4449,19,2,2022-10-18,,Standard
181,4449,28,3,2023-10-24,,Standard
182,4449,28,4,2024-10-22,,Standard
183,4449,28,5,2025-10-21,,Standard
184,2901,17,1,2021-10-19,,Standard
185,2901,17,2,2022-10-18,,Standard
186,2901,1,3,2023-10-24,,Standard
187,4721,13,2,2022-10-18,,Standard
188,1361,21,1,2021-10-19,,Standard
189,926,17,1,2021-10-19,,Standard
190,926,8,1,2021-10-19,,Standard
191,3161,30,1,2021-10-19,,Standard
192,3161,17,1,2021-10-19,,Standard
193,3161,29,1,2021-10-19,,Standard
194,3161,18,1,2021-10-19,,Standard
195,1915,4,1,2021-10-19,,Standard
196,1915,4,2,2022-10-18,,Standard
197,1915,4,3,2023-10-24,,Standard
198,1915,21,3,2023-10-24,,Standard
199,1573,13,1,2021-10-19,,Standard
200,1573,13,2,2022-10-18,,Standard
201,1573,13,3,2023-10-24,,Standard
202,1573,23,4,2024-10-22,,Standard
203,1573,23,5,2025-10-21,,Standard
204,1033,6,1,2021-10-19,,Standard
205,387,13,1,2021-10-19,,Standard
206,473,14,1,2021-10-19,,Standard
207,4870,29,1,2021-10-19,,Standard
208,364,10,1,2021-10-19,,Standard
209,4334,1,1,2021-10-19,,Standard
210,4334,12,1,2021-10-19,,Standard
211,4232,4,1,2021-10-19,,Standard
212,4232,30,1,2021-10-19,,Standard
213,4232,8,2,2022-10-18,,Standard
214,4232,4,3,2023-10-24,,Standard
215,2148,3,1,2021-10-19,,Standard
216,2148,3,2,2022-10-18,,Standard
217,2148,7,2,2022-10-18,,Standard
218,2148,7,3,2023-10-24,,Standard
219,2148,7,4,2024-10-22,,Standard
220,1477,2,1,2021-10-19,,Standard
221,4515,26,1,2021-10-19,,Standard
222,4515,12,1,2021-10-19,,Standard
223,4515,5,1,2021-10-19,,Standard
224,4515,6,3,2023-10-24,,Standard
225,4515,6,4,2024-10-22,,Standard
226,4630,19,1,2021-10-19,,Standard
227,4630,19,2,2022-10-18,,Standard
228,4630,19,3,2023-10-24,,Standard
229,4630,30,4,2024-10-22,,Standard
230,4630,26,4,2024-10-22,,Standard
231,4630,8,5,2025-10-21,,Standard
232,363,24,1,2021-10-19,,Standard
233,363,24,2,2022-10-18,,Standard
234,363,15,3,2023-10-24,,Standard
235,363,21,3,2023-10-24,,Standard
236,363,27,4,2024-10-22,,Standard
237,363,27,5,2025-10-21,,Standard
238,2522,7,1,2021-10-19,,Standard
239,4714,20,1,2021-10-19,,Standard
240,4714,7,2,2022-10-18,,Standard
241,4509,10,1,2021-10-19,,Standard
242,4509,10,2,2022-10-18,,Standard
243,4509,10,3,2023-10-24,,Standard
244,4509,7,4,2024-10-22,,Standard
245,4509,7,5,2025-10-21,,Standard
246,626,20,1,2021-10-19,,Standard
247,626,9,2,2022-10-18,,Standard
248,626,9,3,2023-10-24,,Standard
249,626,20,3,2023-10-24,,Standard
250,626,16,4,2024-10-22,,Standard
251,3196,16,1,2021-10-19,,Standard
252,3196,3,2,2022-10-18,,Standard
253,3196,7,2,2022-10-18,,Standard
254,3196,7,3,2023-10-24,,Standard
255,3196,7,4,2024-10-22,,Standard
256,3196,14,4,2024-10-22,,Standard
257,3201,13,1,2021-10-19,,Standard
258,3201,13,2,2022-10-18,,Standard
259,3201,23,3,2023-10-24,,Standard
260,3201,6,3,2023-10-24,,Standard
261,2677,13,2,2022-10-18,,Standard
262,2677,13,3,2023-10-24,,Standard
263,2677,13,4,2024-10-22,,Standard
264,2677,13,5,2025-10-21,,Standard
