team_id,team_name,abbreviation,conference,season_id,season,games_played,avg_pts,avg_reb,avg_ast,avg_tov,efg_pct,ts_pct
18,Minnesota Timberwolves,MIN,West,1,2021-22,82,115.94,44.16,25.68,13.73,0.5385,0.5733
15,Memphis Grizzlies,MEM,West,1,2021-22,82,115.61,49.17,25.99,12.48,0.5225,0.5528
17,Milwaukee Bucks,MIL,East,1,2021-22,82,115.49,46.71,23.90,12.74,0.5464,0.5804
4,Charlotte Hornets,CHA,East,1,2021-22,82,115.33,44.57,28.07,12.71,0.5442,0.5719
24,Phoenix Suns,PHX,West,1,2021-22,82,114.83,45.29,27.37,12.34,0.5490,0.5806
1,Atlanta Hawks,ATL,East,1,2021-22,82,113.94,43.98,24.60,11.27,0.5426,0.5806
29,Utah Jazz,UTA,West,1,2021-22,82,113.61,46.34,22.39,13.16,0.5551,0.5889
27,San Antonio Spurs,SAS,West,1,2021-22,82,113.16,45.32,27.91,12.30,0.5274,0.5565
3,Brooklyn Nets,BKN,East,1,2021-22,82,112.90,44.39,25.26,13.24,0.5395,0.5761
14,Los Angeles Lakers,LAL,West,1,2021-22,82,112.10,44.00,24.00,13.89,0.5366,0.5669
8,Denver Nuggets,DEN,West,1,2021-22,82,111.89,43.95,27.61,13.76,0.5555,0.5893
2,Boston Celtics,BOS,East,1,2021-22,82,111.76,46.07,24.83,13.05,0.5419,0.5785
5,Chicago Bulls,CHI,East,1,2021-22,82,111.61,42.33,23.88,12.12,0.5413,0.5789
12,Indiana Pacers,IND,East,1,2021-22,82,111.46,43.85,25.38,13.62,0.5310,0.5635
10,Golden State Warriors,GSW,West,1,2021-22,82,111.00,45.49,27.11,14.32,0.5519,0.5820
26,Sacramento Kings,SAC,West,1,2021-22,82,110.30,42.94,23.70,13.54,0.5246,0.5609
16,Miami Heat,MIA,East,1,2021-22,82,110.02,43.72,25.49,13.77,0.5469,0.5839
23,Philadelphia 76ers,PHI,East,1,2021-22,82,109.94,42.32,23.72,11.74,0.5345,0.5785
11,Houston Rockets,HOU,West,1,2021-22,82,109.72,42.02,23.56,15.66,0.5339,0.5646
