full_name,team_name,position,season,avg_pts,avg_reb,avg_ast,per
Nikola Jokić,Denver Nuggets,C,2021-22,26.72,13.59,7.79,39.80
Joel Embiid,Philadelphia 76ers,C,2023-24,31.47,10.00,5.09,37.58
Nikola Jokić,Denver Nuggets,C,2025-26,27.68,12.86,10.72,37.57
Nikola Jokić,Denver Nuggets,C,2024-25,29.59,12.74,10.23,37.54
Nikola Jokić,Denver Nuggets,C,2022-23,24.49,11.84,9.83,37.38
Giannis Antetokounmpo,Milwaukee Bucks,PF,2021-22,29.44,11.44,5.71,36.96
Nikola Jokić,Denver Nuggets,C,2023-24,26.39,12.35,8.96,36.39
Giannis Antetokounmpo,Milwaukee Bucks,PF,2025-26,27.58,9.78,5.44,36.07
Giannis Antetokounmpo,Milwaukee Bucks,PF,2024-25,29.47,11.53,6.24,35.38
Giannis Antetokounmpo,Milwaukee Bucks,PF,2022-23,31.10,11.78,5.70,34.96
Giannis Antetokounmpo,Milwaukee Bucks,PF,2023-24,30.44,11.52,6.52,34.84
Joel Embiid,Philadelphia 76ers,C,2021-22,29.70,11.37,4.06,34.79
Victor Wembanyama,San Antonio Spurs,PF,2025-26,25.05,11.54,3.13,34.58
Joel Embiid,Philadelphia 76ers,C,2022-23,31.64,9.71,3.97,33.99
Luka Dončić,Dallas Mavericks,SG,2023-24,33.86,9.24,9.80,32.89
Anthony Davis,Los Angeles Lakers,PF,2022-23,25.46,12.32,2.60,31.94
Luka Dončić,Dallas Mavericks,SG,2022-23,32.39,8.62,8.02,31.36
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,2025-26,31.16,4.30,6.61,31.27
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,2024-25,32.26,4.88,6.32,31.15
Anthony Davis,Los Angeles Lakers,PF,2023-24,23.75,12.16,3.37,30.94
Shai Gilgeous-Alexander,Oklahoma City Thunder,PG,2023-24,30.05,5.53,6.20,30.75
Leonard Miller,Minnesota Timberwolves,PF,2023-24,0.91,0.63,0.25,30.74
Anthony Davis,Los Angeles Lakers,PF,2024-25,24.57,11.34,3.20,30.70
Luka Dončić,Los Angeles Lakers,SG,2025-26,32.97,7.62,8.15,30.37
Bruno Fernando,Houston Rockets,PF,2021-22,2.56,1.48,0.11,30.13
Rudy Gobert,Utah Jazz,C,2021-22,15.10,14.24,1.06,29.85
Kristaps Porziņģis,Washington Wizards,PF,2021-22,20.89,8.33,2.78,29.74
Victor Wembanyama,San Antonio Spurs,PF,2023-24,21.14,10.49,3.81,29.64
D.J. Wilson,Toronto Raptors,PF,2021-22,6.00,3.20,1.00,29.58
Zion Williamson,New Orleans Pelicans,SF,2024-25,21.06,6.17,4.54,29.58
LeBron James,Los Angeles Lakers,PF,2021-22,28.25,7.65,5.82,29.54
Domantas Sabonis,Sacramento Kings,PF,2023-24,19.43,13.66,8.21,29.40
Luka Dončić,Dallas Mavericks,SG,2021-22,28.42,9.12,8.74,29.35
Moses Brown,Dallas Mavericks,C,2024-25,9.40,6.20,0.40,29.12
Kevin Durant,Brooklyn Nets,PF,2021-22,29.87,7.40,6.38,29.07
LeBron James,Los Angeles Lakers,PF,2023-24,24.96,7.10,8.07,28.97
Victor Wembanyama,San Antonio Spurs,PF,2024-25,24.23,10.98,3.64,28.79
Kevin Durant,Brooklyn Nets,PF,2022-23,29.69,6.72,5.31,28.74
Jalen Duren,Detroit Pistons,C,2025-26,18.25,9.96,1.86,28.65
Domantas Sabonis,Sacramento Kings,PF,2022-23,19.11,12.32,7.25,28.57
