stat_id,game_id,player_id,team_id,minutes_played,points,rebounds_off,rebounds_def,assists,steals,blocks,turnovers,fouls,fgm,fga,fg3m,fg3a,ftm,fta,plus_minus,is_starter
1,1,2024,19,41.1,13,2,2,6,0,2,5,2,6,15,1,6,0,2,-14,t
2,1,2144,19,35.1,22,0,5,5,1,2,2,4,8,19,2,5,4,4,-19,t
3,1,1361,19,20.8,6,1,6,2,0,1,1,5,3,6,0,0,0,0,-12,t
4,1,3767,19,27.0,16,0,2,1,0,0,3,3,6,9,4,6,0,0,-14,t
5,1,205,19,24.8,8,0,5,5,0,0,1,2,2,7,2,3,2,2,-7,t
6,1,1881,19,28.2,15,4,6,1,0,1,1,4,4,9,3,5,4,4,-1,f
7,1,3413,19,12.5,8,2,0,0,0,1,1,3,3,3,0,0,2,3,-7,f
8,1,3173,19,12.1,5,1,2,2,0,0,0,0,2,7,1,3,0,0,-1,f
9,1,56,19,11.9,3,1,3,2,2,0,1,2,1,10,1,7,0,0,6,f
10,1,4948,19,18.1,3,3,3,3,1,2,1,5,0,4,0,2,3,3,11,f
11,1,3053,19,19.6,14,2,3,2,0,0,2,1,5,7,4,5,0,0,11,f
12,1,2163,19,13.9,9,0,0,1,0,0,1,3,3,6,1,3,2,2,7,f
14,1,123,28,35.8,11,3,4,0,0,2,1,3,5,12,1,4,0,1,12,t
15,1,4137,28,38.1,34,6,12,5,0,1,4,6,11,26,2,5,10,11,5,t
16,1,1555,28,31.9,6,1,3,1,0,0,0,5,2,9,1,4,1,1,-2,t
17,1,2756,28,45.0,22,1,4,6,2,0,4,4,4,15,3,11,11,13,-1,t
18,1,4642,28,44.3,34,0,5,7,2,0,2,0,12,18,5,7,5,6,18,t
19,1,2133,28,26.0,13,2,3,0,1,0,3,2,4,10,0,1,5,6,6,f
20,1,3666,28,28.6,5,1,7,2,0,0,2,2,2,7,1,5,0,0,2,f
21,1,1054,28,15.2,5,2,3,2,2,0,0,2,2,6,1,3,0,0,0,f
27,2,1019,14,37.4,25,3,6,5,1,2,3,3,8,21,0,2,9,14,3,t
28,2,2205,14,36.0,18,1,9,8,1,1,5,3,7,19,1,5,3,4,-8,t
29,2,2983,14,17.4,4,1,1,0,0,2,1,0,2,3,0,0,0,0,0,t
30,2,1694,14,32.3,28,1,6,0,2,1,0,3,10,14,7,9,1,1,7,t
31,2,473,14,24.0,8,0,3,0,0,0,2,3,3,7,2,5,0,0,-1,t
32,2,677,14,27.4,0,0,3,3,0,0,1,5,0,3,0,2,0,0,-8,f
33,2,2074,14,19.0,3,3,3,1,0,1,0,4,1,3,0,0,1,1,-1,f
34,2,1003,14,16.2,6,0,0,1,0,0,1,1,2,6,1,5,1,1,-13,f
35,2,890,14,16.9,4,0,1,2,0,0,1,0,2,7,0,3,0,0,-9,f
36,2,1202,14,13.3,6,0,0,0,0,0,0,2,2,2,2,2,0,0,-20,f
40,2,2677,13,31.6,30,1,5,5,2,1,6,5,10,19,1,5,9,10,5,t
41,2,3519,13,17.5,4,1,2,0,0,0,0,2,1,3,1,3,1,2,-2,t
42,2,5123,13,9.6,8,1,0,0,0,0,0,2,4,4,0,0,0,0,-5,t
43,2,4100,13,26.4,8,0,3,2,0,0,0,1,3,8,2,4,0,0,-1,t
44,2,340,13,31.4,2,2,8,6,0,1,2,4,1,7,0,5,0,0,13,t
45,2,1852,13,38.4,17,2,5,4,1,1,3,3,7,11,0,0,3,8,15,f
46,2,4951,13,36.7,21,1,4,7,1,0,2,0,8,14,1,4,4,4,13,f
47,2,1699,13,19.3,12,1,5,0,0,0,1,3,4,8,4,7,0,0,5,f
48,2,1840,13,29.2,10,2,2,0,4,2,0,5,4,7,2,3,0,0,7,f
53,3,1915,2,35.2,25,0,5,2,0,0,1,4,8,15,0,0,9,11,-11,t
54,3,4424,2,37.2,21,1,9,2,2,0,4,2,8,22,4,8,1,3,-4,t
55,3,1477,2,25.0,12,3,3,2,0,0,0,3,5,8,0,1,2,7,-12,t
56,3,563,2,20.9,8,0,7,0,1,0,1,5,3,6,1,2,1,3,-12,t
57,3,4714,2,34.2,12,2,0,2,0,0,3,4,4,18,1,6,3,4,-16,t
58,3,4205,2,33.0,4,1,3,8,0,0,1,4,2,7,0,4,0,0,-13,f
59,3,4463,2,9.9,3,1,0,0,0,1,0,1,0,1,0,1,3,4,-7,f
60,3,3411,2,9.8,0,0,1,0,0,0,0,0,0,1,0,1,0,0,-1,f
61,3,1258,2,11.4,3,1,0,0,0,0,0,0,1,5,1,3,0,0,-1,f
62,3,4931,2,7.2,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,f
63,3,4743,2,5.5,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,f
64,3,4987,2,10.8,5,1,2,1,1,1,0,4,2,4,0,0,1,2,7,f
66,3,1873,23,37.6,15,1,14,4,2,0,4,3,6,11,2,5,1,2,16,t
67,3,2057,23,31.2,16,1,1,3,1,0,1,5,5,13,1,6,5,6,6,t
68,3,1303,23,23.2,15,4,9,3,0,3,0,5,5,14,1,4,4,8,16,t
69,3,3814,23,33.1,17,2,4,2,1,2,2,4,4,12,0,4,9,9,22,t
70,3,4152,23,35.0,24,2,6,9,0,0,4,4,11,16,0,0,2,5,15,t
71,3,1318,23,16.9,3,1,5,0,0,0,3,5,0,3,0,2,3,4,-12,f
72,3,4526,23,21.7,3,0,1,1,2,2,1,5,1,5,1,3,0,0,5,f
73,3,2544,23,19.0,3,0,4,0,0,0,0,1,1,2,1,1,0,0,3,f
74,3,4061,23,16.3,6,1,5,1,0,0,0,2,2,7,0,3,2,2,3,f
75,3,3396,23,3.7,5,0,1,0,0,0,0,0,2,2,1,1,0,0,-2,f
76,3,3117,23,1.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1,f
77,3,3313,23,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,f
79,4,3650,5,27.7,9,0,2,1,2,1,0,2,3,10,1,5,2,2,14,t
80,4,2846,5,34.4,35,5,12,2,1,0,1,1,13,25,1,7,8,10,-8,t
81,4,733,5,29.4,12,5,4,0,0,1,1,4,5,11,0,0,2,2,2,t
82,4,2591,5,30.0,16,3,3,7,2,1,5,3,7,17,1,4,1,1,-8,t
83,4,4012,5,24.4,2,0,0,3,0,1,0,2,1,5,0,0,0,0,4,t
84,4,2546,5,6.8,0,2,2,0,0,0,1,1,0,3,0,1,0,0,-8,f
85,4,4846,5,27.1,17,0,3,7,0,0,1,2,6,13,1,4,4,5,6,f
86,4,5099,5,25.4,17,1,2,2,1,0,1,1,7,11,3,5,0,0,12,f
87,4,1217,5,23.9,11,1,1,2,4,0,0,3,5,7,0,2,1,2,-8,f
88,4,129,5,10.9,6,3,0,1,1,0,0,1,2,3,2,2,0,0,-11,f
92,4,516,4,31.7,8,0,5,3,0,3,3,0,4,7,0,2,0,0,2,t
93,4,4770,4,37.6,27,1,3,1,1,1,4,2,9,17,7,11,2,2,8,t
94,4,5106,4,35.1,15,4,8,1,0,0,1,4,6,11,0,2,3,4,3,t
95,4,179,4,33.1,22,1,4,3,2,0,2,2,8,21,2,8,4,6,-3,t
96,4,3944,4,30.4,7,1,3,6,0,0,4,1,2,10,2,6,1,1,-18,t
97,4,1651,4,27.3,23,1,3,8,0,0,1,3,7,9,6,7,3,3,14,f
98,4,4956,4,16.9,17,0,2,1,0,0,0,1,6,9,5,7,0,0,1,f
99,4,274,4,11.2,0,1,3,2,0,0,2,2,0,0,0,0,0,0,1,f
100,4,3159,4,16.7,7,0,1,3,0,0,2,3,3,4,1,1,0,0,-3,f
105,5,961,15,30.3,13,2,3,2,1,0,1,1,3,11,2,9,5,6,-9,t
106,5,2190,15,29.9,17,1,2,0,1,2,3,5,5,12,0,6,7,9,-11,t
107,5,4630,15,16.1,7,0,1,1,1,1,3,5,3,7,0,2,1,2,-19,t
108,5,537,15,18.2,7,0,5,1,1,1,2,5,3,7,1,2,0,0,-16,t
109,5,3184,15,25.1,14,0,4,4,1,1,6,4,6,12,0,1,2,4,-29,t
110,5,814,15,23.1,8,2,5,1,0,1,0,1,3,6,1,1,1,1,6,f
111,5,2385,15,24.1,15,0,1,7,2,0,2,4,6,12,0,1,3,5,6,f
112,5,1750,15,24.1,9,0,2,2,0,0,3,1,4,8,0,3,1,1,6,f
113,5,60,15,20.8,5,0,1,2,0,0,2,3,2,6,1,5,0,0,-17,f
114,5,99,15,20.8,4,3,5,0,1,0,1,2,2,4,0,1,0,0,-7,f
115,5,666,15,4.7,2,1,2,0,0,1,1,0,1,4,0,1,0,0,-3,f
116,5,3055,15,2.8,0,0,0,2,1,0,0,0,0,0,0,0,0,2,-2,f
118,5,5022,16,37.0,27,2,5,7,1,1,3,2,10,21,1,2,6,9,22,t
119,5,25,16,24.1,14,4,7,3,1,0,5,3,3,7,0,0,8,10,10,t
120,5,2678,16,18.7,0,0,3,0,1,0,0,4,0,2,0,2,0,0,-6,t
121,5,1964,16,33.9,14,0,8,1,2,0,1,2,6,14,1,2,1,1,10,t
122,5,3370,16,26.5,24,0,2,3,2,0,1,5,10,18,1,2,3,3,27,t
123,5,1181,16,25.1,19,0,3,3,1,2,4,1,4,9,2,4,9,10,0,f
124,5,2393,16,15.9,4,1,0,0,0,0,1,5,2,3,0,0,0,0,4,f
125,5,3439,16,22.2,7,1,7,0,1,2,2,4,1,3,1,1,4,4,21,f
126,5,3871,16,22.9,3,0,1,1,0,0,1,2,1,5,1,5,0,0,-3,f
127,5,4150,16,11.4,8,3,3,0,0,3,2,5,3,3,0,0,2,2,18,f
