game_id,season_id,home_team_id,away_team_id,game_date,home_score,away_score,status,overtime
2560,3,8,18,2021-12-15,107,124,Finished,0
2751,3,23,4,2022-01-12,98,109,Finished,0
3720,4,19,8,2022-12-04,121,106,Finished,0
3884,4,1,3,2022-12-28,107,108,Finished,0
1833,2,8,27,2021-04-09,100,119,Finished,0
3478,4,14,19,2022-11-02,120,117,Finished,0
4575,4,12,9,2023-04-07,115,122,Finished,0
3480,4,7,29,2022-11-02,103,100,Finished,0
748,1,4,22,2020-02-03,100,112,Finished,0
4245,4,1,20,2023-02-15,101,122,Finished,0
1482,2,26,16,2021-02-18,110,118,Finished,0
5045,5,3,17,2023-12-27,122,144,Finished,0
5522,5,1,6,2024-03-06,112,101,Finished,0
2813,3,7,24,2022-01-20,101,109,Finished,0
2785,3,1,17,2022-01-17,121,114,Finished,0
1857,2,7,23,2021-04-12,95,113,Finished,0
2249,3,27,7,2021-11-03,108,109,Finished,0
835,1,1,7,2020-02-22,111,107,Finished,0
4758,5,23,2,2023-11-15,107,117,Finished,0
3437,4,21,13,2022-10-27,118,110,Finished,0
908,1,2,3,2020-03-03,120,129,Finished,0
5816,5,13,11,2024-04-14,105,116,Finished,0
5650,5,30,28,2024-03-23,112,109,Finished,0
3426,4,6,22,2022-10-26,103,92,Finished,0
3945,4,11,29,2023-01-05,114,131,Finished,0
5324,5,30,16,2024-02-02,102,110,Finished,0
269,1,14,30,2019-11-29,125,103,Finished,0
4751,5,14,15,2023-11-14,134,107,Finished,0
3584,4,24,10,2022-11-16,130,119,Finished,0
422,1,10,19,2019-12-20,106,102,Finished,0
698,1,21,7,2020-01-27,97,107,Finished,0
4710,5,12,29,2023-11-08,134,118,Finished,0
2840,3,6,20,2022-01-24,95,93,Finished,0
1164,2,13,27,2021-01-05,113,116,Finished,0
4222,4,3,23,2023-02-11,98,101,Finished,0
1861,2,10,8,2021-04-12,116,107,Finished,0
1273,2,6,3,2021-01-22,125,113,Finished,0
2603,3,2,6,2021-12-22,111,101,Finished,0
3596,4,14,9,2022-11-18,128,121,Finished,0
260,1,12,29,2019-11-27,121,102,Finished,0
1593,2,7,27,2021-03-10,115,104,Finished,0
5794,5,3,28,2024-04-10,106,102,Finished,0
1533,2,3,22,2021-02-25,129,92,Finished,0
62,1,2,17,2019-10-30,116,105,Finished,0
129,1,15,7,2019-11-09,122,138,Finished,0
2805,3,16,25,2022-01-19,104,92,Finished,0
4349,4,22,17,2023-03-07,123,134,Finished,0
2191,3,20,23,2021-10-26,112,99,Finished,0
2473,3,29,2,2021-12-03,137,130,Finished,0
1243,2,16,9,2021-01-16,100,120,Finished,0
290,1,13,30,2019-12-01,150,125,Finished,0
2624,3,16,22,2021-12-26,93,83,Finished,0
2757,3,19,13,2022-01-13,113,89,Finished,0
367,1,27,6,2019-12-12,109,117,Finished,0
4563,4,19,15,2023-04-05,138,131,Finished,0
1183,2,11,22,2021-01-08,132,90,Finished,0
556,1,7,8,2020-01-08,106,98,Finished,0
