pss_id,player_id,season_id,team_id,games_played,avg_pts,avg_reb,avg_ast,avg_stl,avg_blk,avg_tov,avg_min,fg_pct,fg3_pct,ft_pct,avg_plus_minus,efg_pct,ts_pct,usg_pct,per,bpm
2,23,1,21,64,10.69,9.11,2.28,0.80,1.05,1.47,26.25,0.5921,0.3333,0.5821,2.33,0.5931,0.6038,0.1746,23.32,3.90
3,25,1,16,72,15.92,10.21,5.11,1.14,1.29,2.83,33.57,0.5570,0.1429,0.6911,3.39,0.5582,0.5981,0.2139,24.49,6.58
4,45,1,27,54,18.54,7.26,2.39,0.67,1.61,1.37,32.48,0.4931,0.3885,0.8272,-2.39,0.5315,0.5707,0.2352,21.18,2.90
6,56,1,19,69,3.87,1.22,1.29,0.25,0.12,0.78,8.56,0.3684,0.3459,0.6757,-0.81,0.4549,0.4729,0.2341,11.07,0.56
7,60,1,15,47,7.02,1.81,1.11,0.21,0.04,0.70,15.29,0.4661,0.4043,0.8667,-2.04,0.5797,0.6093,0.1778,12.91,-3.45
8,61,1,3,71,10.92,9.45,1.55,0.56,1.30,1.08,26.09,0.6495,0.0000,0.6333,0.63,0.6495,0.6638,0.1502,24.27,3.26
9,63,1,20,13,3.85,0.69,1.62,0.38,0.15,0.62,9.01,0.4318,0.3125,0.6364,-1.62,0.4886,0.5119,0.2033,13.98,3.18
11,96,1,3,14,2.00,1.50,0.57,0.00,0.43,0.29,7.66,0.2632,0.2069,0.5000,0.21,0.3421,0.3521,0.1723,5.77,-2.27
12,99,1,15,72,5.42,3.96,2.25,0.75,0.51,0.92,18.47,0.4743,0.2824,0.6667,-1.26,0.5106,0.5338,0.1358,15.39,2.06
14,115,1,17,64,29.02,13.38,5.53,0.95,1.03,3.59,29.95,0.5533,0.3038,0.6328,10.66,0.5893,0.6130,0.3770,39.92,15.60
16,117,1,17,42,1.31,0.57,0.36,0.17,0.05,0.29,3.06,0.5000,0.0000,0.4118,-0.38,0.5000,0.4957,0.2169,12.56,-0.29
17,118,1,25,60,14.92,6.13,1.42,0.82,0.45,1.67,31.70,0.4297,0.3850,0.8447,0.32,0.4853,0.5247,0.2145,13.24,-3.01
19,129,1,5,65,4.02,1.69,1.48,0.42,0.05,0.57,14.31,0.4091,0.3913,0.7105,-1.26,0.5318,0.5513,0.1264,8.91,-2.71
21,132,1,26,33,5.82,4.42,1.52,1.06,0.21,0.85,23.96,0.3879,0.3525,0.7778,-1.36,0.5182,0.5427,0.1131,10.77,-3.01
22,159,1,22,58,10.33,2.10,4.52,0.59,0.02,1.48,24.49,0.3991,0.3483,0.8895,1.31,0.4751,0.5540,0.1907,14.62,2.72
23,172,1,24,58,11.90,7.52,1.24,0.45,1.00,1.38,21.31,0.5458,0.2308,0.7528,1.69,0.5484,0.5682,0.2370,23.92,3.07
24,179,1,4,54,4.15,1.85,0.96,0.43,0.04,0.69,12.73,0.3484,0.2836,0.6604,-2.44,0.3873,0.4190,0.1958,7.64,-3.85
26,205,1,19,66,11.29,5.80,6.64,1.33,0.58,2.92,30.69,0.4032,0.3747,0.5658,-0.39,0.5109,0.5170,0.1851,16.91,6.06
27,208,1,22,68,4.88,4.44,0.62,0.34,1.26,0.62,12.92,0.4615,0.3458,0.6739,0.29,0.5262,0.5421,0.1722,19.21,2.93
28,220,1,7,73,3.04,0.73,1.53,0.07,0.03,0.52,6.17,0.4106,0.3765,0.9091,0.27,0.4879,0.5123,0.2429,16.57,6.84
30,245,1,20,57,14.09,4.89,2.51,0.96,0.30,2.18,29.91,0.4017,0.3198,0.6142,-5.72,0.4450,0.4787,0.2395,12.16,-1.94
31,254,1,8,60,14.57,6.08,3.53,1.02,0.48,1.47,31.93,0.4499,0.3750,0.7669,4.07,0.5230,0.5486,0.1989,17.23,2.23
32,265,1,8,11,3.36,1.55,0.00,0.18,0.36,0.27,8.91,0.4643,0.3333,0.8000,-0.64,0.5179,0.5710,0.1616,12.60,-5.37
34,274,1,4,50,1.58,2.00,1.32,0.34,0.16,0.44,10.10,0.3457,0.2857,0.9000,-0.96,0.4321,0.4625,0.0950,11.00,0.20
35,281,1,24,66,7.29,3.59,1.02,0.15,0.35,0.76,14.16,0.4803,0.3512,0.7467,-0.70,0.5577,0.5809,0.2109,16.29,-0.02
36,283,1,25,45,7.56,3.82,1.36,1.00,0.69,1.33,24.68,0.3466,0.3275,0.8056,0.33,0.4325,0.4753,0.1598,8.11,-4.27
39,286,1,30,61,28.54,3.97,5.69,1.16,0.38,3.18,33.65,0.4551,0.3534,0.8425,-3.30,0.5203,0.5788,0.3459,24.01,6.41
40,290,1,8,51,6.37,1.51,0.94,0.61,0.12,0.71,14.62,0.3887,0.3602,0.8684,0.53,0.4850,0.5115,0.2040,10.42,-3.28
42,304,1,27,66,5.47,1.50,1.05,0.18,0.02,0.29,13.38,0.3917,0.3764,0.8276,0.29,0.4984,0.5316,0.1758,11.58,-2.23
44,307,1,18,49,1.69,1.59,0.29,0.04,0.20,0.37,4.79,0.5333,0.2222,0.5862,-0.16,0.5500,0.5704,0.1606,18.29,-1.10
45,312,1,1,46,5.41,3.30,1.76,1.20,0.41,1.30,19.90,0.4561,0.2308,0.5417,-5.59,0.4890,0.4998,0.1410,11.00,-2.08
47,315,1,17,12,2.17,1.67,0.75,0.00,0.42,0.42,7.56,0.4762,0.4444,0.6667,3.67,0.5714,0.5824,0.1248,10.99,-1.26
48,337,1,30,55,15.16,4.45,1.67,0.67,0.60,1.07,28.78,0.4344,0.4237,0.8525,-0.25,0.5984,0.6283,0.1909,15.77,-1.19
