history_id,player_id,team_id,season_id,start_date,end_date,contract_type
1,11,16,2,2020-12-22,,Standard
2,11,28,3,2021-10-19,,Standard
3,11,28,4,2022-10-18,,Standard
4,11,28,5,2023-10-24,,Standard
5,11,20,5,2023-10-24,,Standard
6,20,17,2,2020-12-22,,Standard
7,23,21,1,2019-10-22,,Standard
8,23,19,2,2020-12-22,,Standard
9,23,15,3,2021-10-19,,Standard
10,23,15,4,2022-10-18,,Standard
11,25,16,1,2019-10-22,,Standard
12,25,16,2,2020-12-22,,Standard
13,25,16,3,2021-10-19,,Standard
14,25,16,4,2022-10-18,,Standard
15,25,16,5,2023-10-24,,Standard
16,30,29,4,2022-10-18,,Standard
17,30,29,5,2023-10-24,,Standard
18,30,28,5,2023-10-24,,Standard
19,42,15,3,2021-10-19,,Standard
20,42,15,4,2022-10-18,,Standard
21,42,15,5,2023-10-24,,Standard
22,45,27,1,2019-10-22,,Standard
23,45,27,2,2020-12-22,,Standard
24,45,3,2,2020-12-22,,Standard
25,45,3,3,2021-10-19,,Standard
26,52,16,1,2019-10-22,,Standard
27,54,24,2,2020-12-22,,Standard
28,56,19,1,2019-10-22,,Standard
29,56,19,2,2020-12-22,,Standard
30,56,19,3,2021-10-19,,Standard
31,56,29,3,2021-10-19,,Standard
32,56,29,4,2022-10-18,,Standard
33,56,18,4,2022-10-18,,Standard
34,56,18,5,2023-10-24,,Standard
35,60,15,1,2019-10-22,,Standard
36,60,15,2,2020-12-22,,Standard
37,60,17,3,2021-10-19,,Standard
38,60,17,4,2022-10-18,,Standard
39,60,24,5,2023-10-24,,Standard
40,61,3,1,2019-10-22,,Standard
41,61,3,2,2020-12-22,,Standard
42,61,6,2,2020-12-22,,Standard
43,61,6,3,2021-10-19,,Standard
44,61,6,4,2022-10-18,,Standard
45,61,6,5,2023-10-24,,Standard
46,63,20,1,2019-10-22,,Standard
47,78,19,3,2021-10-19,,Standard
48,78,19,4,2022-10-18,,Standard
49,78,19,5,2023-10-24,,Standard
50,81,22,1,2019-10-22,,Standard
51,81,22,2,2020-12-22,,Standard
52,81,5,2,2020-12-22,,Standard
53,96,3,1,2019-10-22,,Standard
54,96,6,3,2021-10-19,,Standard
55,96,12,3,2021-10-19,,Standard
56,99,15,1,2019-10-22,,Standard
57,99,15,2,2020-12-22,,Standard
58,99,15,3,2021-10-19,,Standard
59,99,18,4,2022-10-18,,Standard
60,99,18,5,2023-10-24,,Standard
61,105,11,1,2019-10-22,,Standard
62,115,17,1,2019-10-22,,Standard
63,115,17,2,2020-12-22,,Standard
64,115,17,3,2021-10-19,,Standard
65,115,17,4,2022-10-18,,Standard
66,115,17,5,2023-10-24,,Standard
67,116,14,1,2019-10-22,,Standard
68,116,14,2,2020-12-22,,Standard
