player_id,nba_id,first_name,last_name,birth_date,nationality,height_cm,weight_kg,position_id,jersey_number,is_active,draft_year,draft_round,draft_pick
4233,2747,JR,Smith,1985-09-09,USA,198,100,2,21,f,2004,1,18
4951,101150,Lou,Williams,1986-10-27,USA,188,79,2,6,f,2005,2,45
1222,201142,Kevin,Durant,1988-09-29,USA,211,109,3,7,t,2007,1,2
2057,201143,Al,Horford,1986-06-03,Dominican Republic,203,109,5,20,t,2007,1,3
504,201147,Corey,Brewer,1986-03-05,USA,206,85,2,13,f,2007,1,7
3341,201149,Joakim,Noah,1985-02-25,USA,211,105,4,55,f,2007,1,9
770,201163,Wilson,Chandler,1987-05-10,USA,203,107,3,21,f,2007,1,23
760,201596,Mario,Chalmers,1986-05-19,USA,188,86,2,6,f,2008,2,34
2395,201599,DeAndre,Jordan,1988-07-21,USA,211,120,5,9,t,2008,2,35
3945,201937,Ricky,Rubio,1990-10-21,Spain,188,86,2,13,f,2009,1,5
1076,201942,DeMar,DeRozan,1989-08-07,USA,198,100,2,10,t,2009,1,9
340,201976,Patrick,Beverley,1988-07-12,USA,188,82,2,21,f,2009,2,42
4600,202323,Evan,Turner,1988-10-27,USA,198,100,2,1,f,2010,1,2
3161,202328,Greg,Monroe,1990-06-04,USA,208,113,4,15,f,2010,1,7
364,202357,Nemanja,Bjelica,1988-05-09,Serbia,206,106,3,8,f,2010,2,35
4515,202684,Tristan,Thompson,1991-03-13,Canada,206,115,5,13,f,2011,1,4
3201,202694,Marcus,Morris Sr.,1989-09-02,USA,203,99,3,24,f,2011,1,14
2707,203081,Damian,Lillard,1990-07-15,USA,188,91,2,0,t,2012,1,6
3927,203082,Terrence,Ross,1991-02-05,USA,201,93,2,8,f,2012,1,8
1840,203090,Maurice,Harkless,1993-05-11,USA,201,100,2,8,f,2012,1,15
3396,203124,Kyle,O'Quinn,1990-03-26,USA,206,113,5,9,f,2012,2,49
5106,203469,Cody,Zeller,1992-10-05,USA,211,109,4,40,f,2013,1,4
3258,203488,Mike,Muscala,1991-07-01,USA,208,109,4,50,f,2013,2,44
2289,2207,Joe,Johnson,1981-06-29,USA,201,109,2,,f,2001,1,10
4651,2760,Anderson,Varejao,1982-09-28,Brazil,211,118,3,,f,2004,2,30
132,2772,Trevor,Ariza,1985-06-30,USA,203,98,3,,f,2004,2,43
3526,101108,Chris,Paul,1985-05-06,USA,183,79,2,,f,2005,1,4
3085,101139,CJ,Miles,1987-03-18,USA,198,100,2,,f,2005,2,34
4541,201229,Anthony,Tolliver,1985-06-01,USA,203,109,3,43,f,,,
2133,201586,Serge,Ibaka,1989-09-18,Democratic Republic of the Congo,211,107,3,,f,2008,1,24
1694,201980,Danny,Green,1987-06-22,USA,198,98,2,,f,2009,2,46
4488,202498,Lance,Thomas,1988-04-24,USA,203,102,3,42,f,,,
2522,202688,Brandon,Knight,1991-12-02,USA,188,83,2,,f,2011,1,8
1621,203497,Rudy,Gobert,1992-06-26,France,216,117,5,27,t,2013,1,27
1318,203516,James,Ennis III,1990-07-01,USA,198,98,3,,f,2013,2,50
1003,203584,Troy,Daniels,1991-07-15,USA,193,91,2,30,f,,,
3552,203658,Norvel,Pelle,1993-02-03,Antigua and Barbuda,208,105,5,,f,,,
3035,203895,Jordan,McRae,1991-03-28,USA,196,81,2,52,f,2014,2,58
1866,203925,Joe,Harris,1991-09-06,USA,198,100,2,,f,2014,2,33
2972,203926,Doug,McDermott,1992-01-03,USA,201,102,3,7,t,2014,1,11
3735,203944,Julius,Randle,1994-11-29,USA,206,113,4,30,t,2014,1,7
4882,203952,Andrew,Wiggins,1995-02-23,Canada,198,89,3,22,t,2014,1,1
694,203991,Clint,Capela,1994-05-18,Switzerland,208,116,5,30,t,2014,1,25
405,203992,Bogdan,Bogdanović,1992-08-18,Serbia,196,102,2,7,t,2014,1,27
2320,204020,Tyler,Johnson,1992-05-07,USA,190,84,2,,f,,,
3219,1626144,Emmanuel,Mudiay,1996-03-05,Democratic Republic of the Congo,190,91,2,,f,2015,1,7
3536,1626166,Cameron,Payne,1994-08-08,USA,188,83,2,,f,2015,1,14
2034,1626178,Rondae,Hollis-Jefferson,1995-01-03,USA,198,98,3,2,f,2015,1,23
1372,1626245,Cristiano,Felicio,1992-07-07,Brazil,211,122,4,6,f,,,
1284,1627740,Henry,Ellenson,1997-01-13,USA,208,109,4,,f,2016,1,18
2813,1627748,Thon,Maker,1997-02-25,South Sudan,213,100,4,,f,2016,1,10
1113,1627767,Cheick,Diallo,1996-09-13,Mali,203,99,4,,f,2016,2,33
2944,1627775,Patrick,McCaw,1995-10-25,USA,201,82,2,,f,2016,2,38
2544,1627788,Furkan,Korkmaz,1997-07-24,Turkey,201,92,2,,f,2016,1,26
1400,1627827,Dorian,Finney-Smith,1993-05-04,USA,201,100,3,2,t,,,
2393,1627884,Derrick,Jones Jr.,1997-02-15,USA,198,95,3,5,t,,,
3010,1628035,Alfonzo,McKinnie,1992-09-17,USA,201,98,3,,f,,,
861,1628380,Zach,Collins,1997-11-19,USA,206,109,4,12,t,2017,1,10
3524,1628383,Justin,Patton,1997-06-14,USA,211,109,5,,f,2017,1,16
1593,1628385,Harry,Giles III,1998-04-22,USA,208,109,4,20,f,2017,1,20
3510,1628394,Anžejs,Pasečņiks,1995-12-20,Latvia,216,104,5,,f,2017,1,25
480,1628396,Tony,Bradley,1998-01-08,USA,208,112,5,13,t,2017,1,28
4390,1628410,Edmond,Sumner,1995-12-31,USA,193,89,2,4,f,2017,2,52
