team_id,name,abbreviation,city,conference,nba_team_id,season_id,season,wins,losses,games_played,win_pct
17,Milwaukee Bucks,MIL,Milwaukee,East,1610612749,1,2019-20,57,16,73,0.781
28,Toronto Raptors,TOR,Toronto,East,1610612761,1,2019-20,53,19,72,0.736
14,Los Angeles Lakers,LAL,Los Angeles,West,1610612747,1,2019-20,52,19,71,0.732
13,Los Angeles Clippers,LAC,Los Angeles,West,1610612746,1,2019-20,52,20,72,0.722
2,Boston Celtics,BOS,Boston,East,1610612738,1,2019-20,49,22,72,0.681
29,Utah Jazz,UTA,Utah,West,1610612762,1,2019-20,47,25,72,0.653
12,Indiana Pacers,IND,Indiana,East,1610612754,1,2019-20,46,27,73,0.630
21,Oklahoma City Thunder,OKC,Oklahoma City,West,1610612760,1,2019-20,45,27,72,0.625
11,Houston Rockets,HOU,Houston,West,1610612745,1,2019-20,45,27,72,0.625
16,Miami Heat,MIA,Miami,East,1610612748,1,2019-20,45,28,73,0.616
23,Philadelphia 76ers,PHI,Philadelphia,East,1610612755,1,2019-20,44,28,73,0.603
7,Dallas Mavericks,DAL,Dallas,West,1610612742,1,2019-20,45,30,75,0.600
3,Brooklyn Nets,BKN,Brooklyn,East,1610612751,1,2019-20,36,36,72,0.500
25,Portland Trail Blazers,POR,Portland,West,1610612757,1,2019-20,36,38,74,0.486
22,Orlando Magic,ORL,Orlando,East,1610612753,1,2019-20,35,38,73,0.479
27,San Antonio Spurs,SAS,San Antonio,West,1610612759,1,2019-20,34,37,71,0.479
15,Memphis Grizzlies,MEM,Memphis,West,1610612763,1,2019-20,34,38,73,0.466
19,New Orleans Pelicans,NOP,New Orleans,West,1610612740,1,2019-20,32,40,72,0.444
26,Sacramento Kings,SAC,Sacramento,West,1610612758,1,2019-20,31,40,72,0.431
18,Minnesota Timberwolves,MIN,Minnesota,West,1610612750,1,2019-20,25,39,64,0.391
30,Washington Wizards,WAS,Washington,East,1610612764,1,2019-20,27,45,72,0.375
4,Charlotte Hornets,CHA,Charlotte,East,1610612766,1,2019-20,24,41,65,0.369
8,Denver Nuggets,DEN,Denver,West,1610612743,1,2019-20,25,46,73,0.342
5,Chicago Bulls,CHI,Chicago,East,1610612741,1,2019-20,22,43,65,0.338
1,Atlanta Hawks,ATL,Atlanta,East,1610612737,1,2019-20,22,45,67,0.328
20,New York Knicks,NYK,New York,East,1610612752,1,2019-20,21,45,66,0.318
9,Detroit Pistons,DET,Detroit,East,1610612765,1,2019-20,20,46,66,0.303
10,Golden State Warriors,GSW,Golden State,West,1610612744,1,2019-20,17,48,65,0.262
6,Cleveland Cavaliers,CLE,Cleveland,East,1610612739,1,2019-20,17,48,65,0.262
24,Phoenix Suns,PHX,Phoenix,West,1610612756,1,2019-20,17,54,73,0.233
29,Utah Jazz,UTA,Utah,West,1610612762,2,2020-21,52,20,72,0.722
23,Philadelphia 76ers,PHI,Philadelphia,East,1610612755,2,2020-21,49,23,72,0.681
3,Brooklyn Nets,BKN,Brooklyn,East,1610612751,2,2020-21,48,24,72,0.667
24,Phoenix Suns,PHX,Phoenix,West,1610612756,2,2020-21,47,24,72,0.653
13,Los Angeles Clippers,LAC,Los Angeles,West,1610612746,2,2020-21,47,25,72,0.653
17,Milwaukee Bucks,MIL,Milwaukee,East,1610612749,2,2020-21,46,26,72,0.639
7,Dallas Mavericks,DAL,Dallas,West,1610612742,2,2020-21,43,29,72,0.597
25,Portland Trail Blazers,POR,Portland,West,1610612757,2,2020-21,43,29,72,0.597
8,Denver Nuggets,DEN,Denver,West,1610612743,2,2020-21,43,28,72,0.597
14,Los Angeles Lakers,LAL,Los Angeles,West,1610612747,2,2020-21,42,30,72,0.583
1,Atlanta Hawks,ATL,Atlanta,East,1610612737,2,2020-21,41,31,72,0.569
20,New York Knicks,NYK,New York,East,1610612752,2,2020-21,41,31,72,0.569
16,Miami Heat,MIA,Miami,East,1610612748,2,2020-21,40,32,72,0.556
10,Golden State Warriors,GSW,Golden State,West,1610612744,2,2020-21,39,33,72,0.542
15,Memphis Grizzlies,MEM,Memphis,West,1610612763,2,2020-21,39,33,72,0.542
2,Boston Celtics,BOS,Boston,East,1610612738,2,2020-21,36,36,72,0.500
27,San Antonio Spurs,SAS,San Antonio,West,1610612759,2,2020-21,34,38,72,0.472
12,Indiana Pacers,IND,Indiana,East,1610612754,2,2020-21,34,38,72,0.472
30,Washington Wizards,WAS,Washington,East,1610612764,2,2020-21,34,38,72,0.472
