team_id,team_name,abbreviation,conference,season_id,season,games_played,avg_pts,avg_reb,avg_ast,avg_tov,efg_pct,ts_pct
17,Milwaukee Bucks,MIL,East,1,2019-20,73,118.67,51.70,25.88,14.64,0.5519,0.5830
11,Houston Rockets,HOU,West,1,2019-20,72,117.81,44.28,21.63,14.18,0.5373,0.5780
7,Dallas Mavericks,DAL,West,1,2019-20,75,117.01,46.93,24.65,12.12,0.5452,0.5806
13,Los Angeles Clippers,LAC,West,1,2019-20,72,116.35,47.65,23.72,13.88,0.5353,0.5771
19,New Orleans Pelicans,NOP,West,1,2019-20,72,115.85,46.50,26.83,15.88,0.5390,0.5682
25,Portland Trail Blazers,POR,West,1,2019-20,74,114.97,45.31,20.61,12.43,0.5331,0.5697
30,Washington Wizards,WAS,East,1,2019-20,72,114.42,42.04,25.01,13.54,0.5229,0.5625
27,San Antonio Spurs,SAS,West,1,2019-20,71,114.06,44.65,24.66,12.23,0.5315,0.5717
2,Boston Celtics,BOS,East,1,2019-20,72,113.65,46.07,22.99,13.15,0.5309,0.5697
14,Los Angeles Lakers,LAL,West,1,2019-20,71,113.44,45.73,25.39,14.66,0.5419,0.5729
18,Minnesota Timberwolves,MIN,West,1,2019-20,64,113.25,44.81,23.83,14.73,0.5136,0.5508
28,Toronto Raptors,TOR,East,1,2019-20,72,112.75,45.39,25.22,14.04,0.5362,0.5745
15,Memphis Grizzlies,MEM,West,1,2019-20,73,112.63,46.53,26.92,14.59,0.5283,0.5606
16,Miami Heat,MIA,East,1,2019-20,73,112.04,44.37,25.92,13.95,0.5470,0.5868
3,Brooklyn Nets,BKN,East,1,2019-20,72,111.78,47.90,24.46,14.53,0.5199,0.5543
1,Atlanta Hawks,ATL,East,1,2019-20,67,111.76,43.25,23.96,15.75,0.5152,0.5542
29,Utah Jazz,UTA,West,1,2019-20,72,111.11,44.76,22.35,14.43,0.5497,0.5851
23,Philadelphia 76ers,PHI,East,1,2019-20,73,110.74,45.44,25.81,13.49,0.5336,0.5663
21,Oklahoma City Thunder,OKC,West,1,2019-20,72,110.42,42.89,21.69,12.99,0.5302,0.5726
26,Sacramento Kings,SAC,West,1,2019-20,72,110.10,42.60,23.79,13.75,0.5343,0.5656
12,Indiana Pacers,IND,East,1,2019-20,73,109.44,42.81,25.86,12.67,0.5338,0.5650
22,Orlando Magic,ORL,East,1,2019-20,73,107.27,44.51,23.93,12.18,0.5063,0.5441
9,Detroit Pistons,DET,East,1,2019-20,66,107.24,41.71,24.08,14.55,0.5285,0.5611
5,Chicago Bulls,CHI,East,1,2019-20,65,106.85,41.86,23.23,14.63,0.5154,0.5470
24,Phoenix Suns,PHX,West,1,2019-20,73,106.38,39.36,25.96,13.27,0.5315,0.5759
10,Golden State Warriors,GSW,West,1,2019-20,65,106.34,42.85,25.58,14.31,0.4972,0.5404
20,New York Knicks,NYK,East,1,2019-20,66,105.80,46.50,22.06,13.85,0.5009,0.5308
6,Cleveland Cavaliers,CLE,East,1,2019-20,65,105.03,43.57,22.66,15.45,0.5210,0.5515
8,Denver Nuggets,DEN,West,1,2019-20,73,103.92,42.70,23.78,12.53,0.5369,0.5696
4,Charlotte Hornets,CHA,East,1,2019-20,65,102.88,42.78,23.83,13.89,0.5044,0.5389
17,Milwaukee Bucks,MIL,East,2,2020-21,72,120.13,48.13,25.47,13.39,0.5658,0.5934
3,Brooklyn Nets,BKN,East,2,2020-21,72,118.57,44.43,26.79,13.11,0.5750,0.6095
30,Washington Wizards,WAS,East,2,2020-21,72,116.64,45.19,25.49,13.93,0.5307,0.5693
29,Utah Jazz,UTA,West,2,2020-21,72,116.42,48.25,23.65,13.51,0.5633,0.5966
25,Portland Trail Blazers,POR,West,2,2020-21,72,116.11,44.54,21.26,10.76,0.5396,0.5771
12,Indiana Pacers,IND,East,2,2020-21,72,115.31,42.67,27.40,13.01,0.5420,0.5746
19,New Orleans Pelicans,NOP,West,2,2020-21,72,114.60,47.40,26.00,13.93,0.5367,0.5700
24,Phoenix Suns,PHX,West,2,2020-21,72,114.28,42.44,26.75,11.92,0.5653,0.5978
13,Los Angeles Clippers,LAC,West,2,2020-21,72,114.01,44.15,24.39,12.42,0.5643,0.5990
26,Sacramento Kings,SAC,West,2,2020-21,72,113.74,41.40,25.50,12.83,0.5490,0.5784
10,Golden State Warriors,GSW,West,2,2020-21,72,113.71,43.03,27.65,14.64,0.5510,0.5835
8,Denver Nuggets,DEN,West,2,2020-21,72,113.71,44.15,26.42,12.75,0.5573,0.5885
1,Atlanta Hawks,ATL,East,2,2020-21,72,113.69,45.63,24.13,12.69,0.5388,0.5807
23,Philadelphia 76ers,PHI,East,2,2020-21,72,113.64,45.06,23.69,13.74,0.5412,0.5791
15,Memphis Grizzlies,MEM,West,2,2020-21,72,113.29,46.47,26.92,12.72,0.5276,0.5599
2,Boston Celtics,BOS,East,2,2020-21,72,112.63,44.25,23.46,13.39,0.5428,0.5744
7,Dallas Mavericks,DAL,West,2,2020-21,72,112.44,43.33,22.88,11.43,0.5495,0.5818
18,Minnesota Timberwolves,MIN,West,2,2020-21,72,112.13,43.51,25.64,13.65,0.5200,0.5547
28,Toronto Raptors,TOR,East,2,2020-21,72,111.26,41.58,24.10,12.47,0.5295,0.5674
27,San Antonio Spurs,SAS,West,2,2020-21,72,111.08,43.86,24.43,10.99,0.5173,0.5543
5,Chicago Bulls,CHI,East,2,2020-21,72,110.68,44.96,26.76,14.51,0.5466,0.5747
14,Los Angeles Lakers,LAL,West,2,2020-21,72,109.54,44.24,24.65,14.72,0.5362,0.5686
4,Charlotte Hornets,CHA,East,2,2020-21,72,109.46,43.76,26.85,14.18,0.5325,0.5640
11,Houston Rockets,HOU,West,2,2020-21,72,108.79,42.60,23.60,14.24,0.5213,0.5533
16,Miami Heat,MIA,East,2,2020-21,72,108.07,41.50,26.32,13.28,0.5457,0.5809
20,New York Knicks,NYK,East,2,2020-21,72,107.03,45.14,21.40,12.17,0.5241,0.5594
9,Detroit Pistons,DET,East,2,2020-21,72,106.61,42.71,24.21,14.17,0.5191,0.5560
21,Oklahoma City Thunder,OKC,West,2,2020-21,72,105.00,45.60,22.06,15.39,0.5086,0.5389
22,Orlando Magic,ORL,East,2,2020-21,72,104.00,45.44,21.82,12.25,0.4898,0.5272
6,Cleveland Cavaliers,CLE,East,2,2020-21,72,103.75,42.69,23.75,14.40,0.5081,0.5429
18,Minnesota Timberwolves,MIN,West,3,2021-22,82,115.94,44.16,25.68,13.73,0.5385,0.5733
15,Memphis Grizzlies,MEM,West,3,2021-22,82,115.61,49.17,25.99,12.48,0.5225,0.5528
17,Milwaukee Bucks,MIL,East,3,2021-22,82,115.49,46.71,23.90,12.74,0.5464,0.5804
