full_name,team_name,position,season,avg_pts,avg_reb,avg_ast,per
Giannis Antetokounmpo,Milwaukee Bucks,SF,2019-20,29.02,13.38,5.53,39.92
Nikola Jokić,Denver Nuggets,C,2021-22,26.72,13.59,7.79,39.79
Joel Embiid,Philadelphia 76ers,C,2023-24,31.47,10.00,5.09,37.60
Nikola Jokić,Denver Nuggets,C,2022-23,24.49,11.84,9.83,37.39
Giannis Antetokounmpo,Milwaukee Bucks,SF,2021-22,29.44,11.44,5.71,36.96
Nikola Jokić,Denver Nuggets,C,2023-24,26.39,12.35,8.96,36.41
Giannis Antetokounmpo,Milwaukee Bucks,SF,2022-23,31.10,11.78,5.70,34.97
Giannis Antetokounmpo,Milwaukee Bucks,SF,2023-24,30.44,11.52,6.52,34.85
Joel Embiid,Philadelphia 76ers,C,2021-22,29.70,11.37,4.06,34.79
Giannis Antetokounmpo,Milwaukee Bucks,SF,2020-21,27.25,10.65,5.67,34.09
Nikola Jokić,Denver Nuggets,C,2020-21,26.36,10.83,8.32,34.08
Joel Embiid,Philadelphia 76ers,C,2022-23,31.64,9.71,3.97,34.00
Joel Embiid,Philadelphia 76ers,C,2020-21,26.38,9.80,2.64,33.13
Luka Dončić,Dallas Mavericks,SG,2023-24,33.86,9.24,9.80,32.90
Anthony Davis,Los Angeles Lakers,PF,2022-23,25.46,12.32,2.60,31.95
Luka Dončić,Dallas Mavericks,SG,2019-20,28.37,9.24,8.68,31.80
Luka Dončić,Dallas Mavericks,SG,2022-23,32.39,8.62,8.02,31.36
Anthony Davis,Los Angeles Lakers,PF,2023-24,23.75,12.16,3.37,30.96
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,2023-24,30.05,5.53,6.20,30.77
Leonard Miller,Minnesota Timberwolves,SF,2023-24,0.91,0.63,0.25,30.75
LeBron James,Los Angeles Lakers,SF,2019-20,25.34,7.84,10.21,30.16
Bruno Fernando,Houston Rockets,PF,2021-22,2.56,1.48,0.11,30.13
James Harden,Houston Rockets,SG,2019-20,33.84,6.46,7.42,29.93
Rudy Gobert,Utah Jazz,C,2021-22,15.10,14.24,1.06,29.85
Karl-Anthony Towns,Minnesota Timberwolves,C,2019-20,20.13,8.22,3.33,29.83
Joel Embiid,Philadelphia 76ers,C,2019-20,22.11,11.19,2.87,29.75
Kristaps Porziņģis,Washington Wizards,PF,2021-22,20.89,8.33,2.78,29.73
Victor Wembanyama,San Antonio Spurs,PF,2023-24,21.14,10.49,3.81,29.65
D.J. Wilson,Toronto Raptors,SF,2021-22,6.00,3.20,1.00,29.58
LeBron James,Los Angeles Lakers,SF,2021-22,28.25,7.65,5.82,29.54
Anthony Davis,Los Angeles Lakers,PF,2019-20,24.15,8.61,2.99,29.51
Kevin Durant,Brooklyn Nets,SF,2020-21,22.45,5.88,4.64,29.46
Domantas Sabonis,Sacramento Kings,PF,2023-24,19.43,13.66,8.21,29.41
Hassan Whiteside,Portland Trail Blazers,C,2019-20,14.86,12.93,1.11,29.38
Luka Dončić,Dallas Mavericks,SG,2021-22,28.42,9.12,8.74,29.35
Boban Marjanovic,Dallas Mavericks,C,2019-20,3.91,2.66,0.27,29.32
Kevin Durant,Brooklyn Nets,SF,2021-22,29.87,7.40,6.38,29.06
James Harden,Brooklyn Nets,SG,2020-21,22.69,7.87,10.05,29.06
LeBron James,Los Angeles Lakers,SF,2023-24,24.96,7.10,8.07,28.98
Kawhi Leonard,Los Angeles Clippers,SF,2019-20,24.89,6.48,4.52,28.93
Alize Johnson,Brooklyn Nets,SF,2020-21,3.76,3.60,0.56,28.77
Kevin Durant,Brooklyn Nets,SF,2022-23,29.69,6.72,5.31,28.75
Jonas Valančiūnas,Memphis Grizzlies,C,2020-21,15.79,11.58,1.67,28.63
Domantas Sabonis,Sacramento Kings,PF,2022-23,19.11,12.32,7.25,28.58
Stephen Curry,Golden State Warriors,SG,2020-21,28.79,4.93,5.19,28.54
LeBron James,Los Angeles Lakers,SF,2022-23,27.89,8.02,6.58,28.47
LeBron James,Los Angeles Lakers,SF,2020-21,25.02,7.69,7.78,28.44
Clint Capela,Atlanta Hawks,C,2020-21,14.71,13.89,0.75,28.36
Nikola Jokić,Denver Nuggets,C,2019-20,19.95,9.74,7.01,28.35
Luka Dončić,Dallas Mavericks,SG,2020-21,26.91,7.75,8.34,28.33
Zion Williamson,New Orleans Pelicans,SF,2020-21,26.56,7.11,3.65,28.24
Rudy Gobert,Utah Jazz,C,2020-21,14.30,13.52,1.25,28.22
Jabari Parker,Sacramento Kings,SF,2019-20,3.19,1.44,0.63,28.12
Boban Marjanovic,Houston Rockets,C,2023-24,0.56,0.40,0.07,28.07
Jimmy Butler III,Miami Heat,SF,2020-21,17.71,5.70,5.86,27.99
Jonas Valančiūnas,Memphis Grizzlies,C,2019-20,14.70,11.10,1.85,27.98
Nikola Vučević,Orlando Magic,C,2020-21,24.55,11.75,3.80,27.80
Shai Gilgeous-Alexander,Oklahoma City Thunder,SG,2022-23,30.50,4.70,5.30,27.73
Kevin Durant,Phoenix Suns,SF,2022-23,23.11,5.67,3.11,27.67
Zion Williamson,New Orleans Pelicans,SF,2022-23,26.00,6.97,4.59,27.66
Damian Lillard,Portland Trail Blazers,SG,2022-23,27.44,4.07,6.25,27.64
Jimmy Butler III,Miami Heat,SF,2022-23,22.55,5.77,5.23,27.63
Andre Drummond,Brooklyn Nets,C,2021-22,10.85,9.50,1.31,27.62
Ja Morant,Memphis Grizzlies,SG,2021-22,27.44,5.70,6.74,27.57
Stephen Curry,Golden State Warriors,SG,2022-23,29.43,6.09,6.29,27.54
Karl-Anthony Towns,Minnesota Timberwolves,C,2021-22,24.24,9.69,3.59,27.31
Andre Drummond,Detroit Pistons,C,2019-20,16.42,14.62,2.60,27.27
Dejounte Murray,San Antonio Spurs,SG,2021-22,20.84,8.16,9.09,27.24
Ja Morant,Memphis Grizzlies,SG,2022-23,26.16,5.85,8.08,27.21
Daniel Gafford,Dallas Mavericks,PF,2023-24,11.17,6.93,1.59,27.09
Tyrese Haliburton,Indiana Pacers,SG,2023-24,20.13,3.93,10.90,27.08
Robert Williams III,Boston Celtics,C,2020-21,7.72,6.63,1.74,27.07
Anthony Davis,Los Angeles Lakers,PF,2021-22,21.07,8.95,2.77,27.00
Kyrie Irving,Brooklyn Nets,SG,2019-20,24.91,4.68,5.82,26.98
Boban Marjanovic,Houston Rockets,C,2022-23,1.26,0.74,0.11,26.94
Andre Drummond,Chicago Bulls,C,2023-24,8.39,8.96,0.47,26.93
Trae Young,Atlanta Hawks,SG,2021-22,28.36,3.74,9.70,26.86
Jayson Tatum,Boston Celtics,SG,2022-23,30.07,8.77,4.62,26.82
Daniel Gafford,Washington Wizards,PF,2020-21,10.13,5.57,0.52,26.79
Russell Westbrook,Washington Wizards,SG,2020-21,21.57,11.19,11.39,26.77
Kawhi Leonard,Los Angeles Clippers,SF,2020-21,22.28,5.81,4.64,26.76
Damian Lillard,Portland Trail Blazers,SG,2019-20,27.47,3.94,7.36,26.70
Domantas Sabonis,Indiana Pacers,PF,2021-22,18.89,12.06,5.02,26.64
Nikola Vučević,Chicago Bulls,C,2020-21,20.70,11.11,3.78,26.52
Deandre Ayton,Phoenix Suns,C,2021-22,13.47,8.01,1.14,26.43
Jarrett Allen,Cleveland Cavaliers,C,2021-22,15.86,10.56,1.61,26.41
Karl-Anthony Towns,Minnesota Timberwolves,C,2020-21,24.78,10.58,4.50,26.39
DeAndre Jordan,Brooklyn Nets,C,2019-20,8.30,10.02,1.88,26.39
JaVale McGee,Phoenix Suns,C,2021-22,9.19,6.70,0.57,26.34
Zion Williamson,New Orleans Pelicans,SF,2019-20,21.60,6.00,2.00,26.32
Kenneth Lofton Jr.,Utah Jazz,SF,2023-24,7.86,2.86,2.71,26.27
Domantas Sabonis,Sacramento Kings,PF,2021-22,17.69,11.56,5.44,26.25
Tyrese Haliburton,Indiana Pacers,SG,2022-23,20.71,3.66,10.45,26.24
Trae Young,Atlanta Hawks,SG,2019-20,28.68,4.11,9.03,26.21
Montrezl Harrell,Washington Wizards,PF,2021-22,14.07,6.72,2.09,26.01
John Collins,Atlanta Hawks,PF,2019-20,19.24,9.04,1.30,26.00
Nikola Vučević,Orlando Magic,C,2019-20,19.60,10.85,3.58,25.93
Domantas Sabonis,Indiana Pacers,PF,2020-21,20.00,11.78,6.59,25.90
Andre Drummond,Cleveland Cavaliers,C,2020-21,15.07,11.62,2.21,25.90
Willie Cauley-Stein,Dallas Mavericks,C,2019-20,4.19,3.75,0.63,25.85
Dewayne Dedmon,Miami Heat,C,2020-21,5.38,4.10,0.57,25.80
Enes Freedom,Boston Celtics,C,2019-20,7.69,7.07,0.92,25.79
Clint Capela,Atlanta Hawks,C,2021-22,11.08,11.85,1.24,25.78
Clint Capela,Atlanta Hawks,C,2022-23,11.63,10.70,0.87,25.74
Jarrett Allen,Cleveland Cavaliers,C,2023-24,16.51,10.53,2.73,25.73
Jarrett Allen,Brooklyn Nets,C,2020-21,11.17,10.42,1.67,25.68
Bam Adebayo,Miami Heat,C,2020-21,16.63,7.96,4.81,25.62
Andre Drummond,Chicago Bulls,C,2022-23,5.25,5.84,0.43,25.58
Rudy Gobert,Utah Jazz,C,2019-20,14.87,13.28,1.46,25.56
Moses Brown,Los Angeles Clippers,C,2022-23,3.10,2.78,0.08,25.55
Boban Marjanovic,Dallas Mavericks,C,2020-21,2.17,1.78,0.14,25.53
Clint Capela,Houston Rockets,C,2019-20,13.58,13.43,1.20,25.52
Enes Freedom,Portland Trail Blazers,C,2020-21,11.19,11.04,1.17,25.52
Damian Lillard,Portland Trail Blazers,SG,2020-21,27.54,4.04,7.21,25.44
Jonas Valančiūnas,New Orleans Pelicans,C,2021-22,17.52,11.24,2.53,25.39
Domantas Sabonis,Indiana Pacers,PF,2019-20,18.50,12.44,5.00,25.38
Jayson Tatum,Boston Celtics,SG,2023-24,26.49,8.01,4.85,25.37
Chimezie Metu,San Antonio Spurs,PF,2019-20,1.07,0.61,0.19,25.37
Kawhi Leonard,Los Angeles Clippers,SF,2022-23,23.83,6.50,3.92,25.32
Adama Sanogo,Chicago Bulls,SF,2023-24,1.64,1.64,0.00,25.31
Jimmy Butler III,Miami Heat,SF,2019-20,17.53,5.85,5.30,25.28
Andre Drummond,Cleveland Cavaliers,C,2019-20,12.73,8.09,1.27,25.25
James Harden,Houston Rockets,SG,2020-21,22.00,4.56,9.22,25.21
Brandon Clarke,Memphis Grizzlies,SF,2021-22,9.79,5.03,1.26,25.16
Bam Adebayo,Miami Heat,C,2021-22,19.07,10.07,3.39,25.13
Christian Wood,Detroit Pistons,SF,2019-20,12.66,6.09,0.94,25.10
Norman Powell,Los Angeles Clippers,SG,2021-22,17.83,2.33,2.33,25.06
Hassan Whiteside,Utah Jazz,C,2021-22,7.97,7.37,0.39,25.05
James Harden,Brooklyn Nets,SG,2021-22,20.20,7.16,9.12,25.00
Zion Williamson,New Orleans Pelicans,SF,2023-24,20.79,5.27,4.57,24.92
Alperen Sengun,Houston Rockets,C,2023-24,21.13,9.35,4.95,24.91
Kelly Olynyk,Houston Rockets,PF,2020-21,18.32,8.14,4.00,24.90
T.J. McConnell,Indiana Pacers,SG,2023-24,8.98,2.36,4.81,24.90
Kristaps Porziņģis,Washington Wizards,PF,2022-23,22.13,8.03,2.56,24.89
Willy Hernangomez,New Orleans Pelicans,C,2021-22,5.81,4.33,0.81,24.81
Jimmy Butler III,Miami Heat,SF,2021-22,21.39,5.89,5.47,24.79
James Harden,Philadelphia 76ers,SG,2021-22,21.05,7.10,10.48,24.77
Ivica Zubac,Los Angeles Clippers,C,2019-20,8.28,7.54,1.14,24.73
Kyrie Irving,Brooklyn Nets,SG,2020-21,26.38,4.67,5.89,24.69
Thomas Bryant,Los Angeles Lakers,C,2022-23,11.81,6.64,0.69,24.66
Lauri Markkanen,Utah Jazz,PF,2022-23,25.62,8.64,1.86,24.64
Moussa Diabaté,Los Angeles Clippers,SF,2023-24,1.21,1.00,0.17,24.63
Jakob Poeltl,Toronto Raptors,C,2022-23,13.12,9.12,2.15,24.61
Montrezl Harrell,Los Angeles Clippers,PF,2019-20,18.62,7.06,1.70,24.58
Kawhi Leonard,Los Angeles Clippers,SF,2023-24,23.72,6.12,3.59,24.57
Anthony Davis,Los Angeles Lakers,PF,2020-21,21.83,7.94,3.06,24.56
Bam Adebayo,Miami Heat,C,2019-20,15.92,10.21,5.11,24.49
Jusuf Nurkić,Portland Trail Blazers,C,2021-22,14.77,10.86,2.75,24.45
Stephen Curry,Golden State Warriors,SG,2019-20,14.86,3.71,4.71,24.43
Kevin Durant,Phoenix Suns,SF,2023-24,26.74,6.51,4.97,24.42
James Harden,Philadelphia 76ers,SG,2022-23,19.61,5.71,9.97,24.37
Walker Kessler,Utah Jazz,C,2022-23,9.18,8.38,0.93,24.37
Kristaps Porziņģis,Boston Celtics,PF,2023-24,19.74,7.05,1.98,24.36
Jayson Tatum,Boston Celtics,SG,2021-22,26.92,8.01,4.39,24.33
Robert Williams III,Boston Celtics,C,2019-20,4.41,3.76,0.79,24.33
Trae Young,Atlanta Hawks,SG,2020-21,24.15,3.71,9.00,24.28
Jarrett Allen,Brooklyn Nets,C,2019-20,10.92,9.45,1.55,24.27
Khris Middleton,Milwaukee Bucks,SF,2019-20,20.59,6.06,4.21,24.23
Ryan Rollins,Washington Wizards,SG,2023-24,2.41,0.65,0.65,24.19
Moses Brown,Cleveland Cavaliers,C,2021-22,5.29,4.35,0.00,24.19
Mark Williams,Charlotte Hornets,C,2023-24,12.74,9.68,1.16,24.14
Andre Drummond,Philadelphia 76ers,C,2021-22,5.96,8.66,1.94,24.13
Clint Capela,Atlanta Hawks,C,2023-24,11.00,10.21,1.20,24.09
Pascal Siakam,Indiana Pacers,SF,2023-24,21.27,7.78,3.71,24.07
DeMar DeRozan,Chicago Bulls,SG,2021-22,27.87,5.16,4.92,24.07
Robert Williams III,Boston Celtics,C,2021-22,9.79,9.48,1.95,24.04
Bradley Beal,Washington Wizards,SG,2019-20,28.54,3.97,5.69,24.01
Christian Wood,Houston Rockets,SF,2021-22,17.65,9.94,2.25,24.00
Trayce Jackson-Davis,Golden State Warriors,SF,2023-24,6.84,4.32,1.04,23.99
Marvin Bagley III,Washington Wizards,SF,2023-24,13.25,8.08,1.17,23.97
Bam Adebayo,Miami Heat,C,2023-24,18.47,9.96,3.76,23.96
Kevin Love,Cleveland Cavaliers,PF,2021-22,13.61,7.24,2.16,23.92
Deandre Ayton,Phoenix Suns,C,2019-20,11.90,7.52,1.24,23.92
Jusuf Nurkić,Portland Trail Blazers,C,2020-21,6.24,4.88,1.84,23.91
Jusuf Nurkić,Portland Trail Blazers,C,2019-20,4.03,2.34,0.91,23.90
Lauri Markkanen,Utah Jazz,PF,2023-24,23.24,8.16,2.00,23.88
Chris Paul,Phoenix Suns,SG,2021-22,14.30,4.22,10.48,23.85
Jonas Valančiūnas,New Orleans Pelicans,C,2023-24,12.22,8.79,2.11,23.85
Ja Morant,Memphis Grizzlies,SG,2023-24,15.07,3.33,4.87,23.84
Brandon Clarke,Memphis Grizzlies,SF,2019-20,11.48,5.66,1.33,23.82
Trae Young,Atlanta Hawks,SG,2022-23,25.52,2.89,9.88,23.78
Russell Westbrook,Houston Rockets,SG,2019-20,25.88,7.52,6.68,23.77
Jonas Valančiūnas,New Orleans Pelicans,C,2022-23,14.11,10.18,1.77,23.76
Willy Hernangomez,New Orleans Pelicans,C,2022-23,3.20,2.20,0.40,23.76
Jalen Duren,Detroit Pistons,C,2023-24,11.68,9.85,2.04,23.75
Thomas Bryant,Washington Wizards,C,2019-20,11.07,6.02,1.51,23.75
Bradley Beal,Washington Wizards,SG,2020-21,28.89,4.35,4.08,23.73
Jakob Poeltl,San Antonio Spurs,C,2022-23,12.09,9.04,3.07,23.73
Evan Mobley,Cleveland Cavaliers,C,2023-24,15.70,9.36,3.20,23.69
Christian Wood,Houston Rockets,SF,2020-21,15.93,7.31,1.31,23.68
